event count, Expected distinct count
805
825
869
901
924
924
912
937
940
939
936
940
929
939
934
914
937
909
942
933
939
944
944
944
944
945
945
943
943
944
940
943
944
944
943
943
945
944
941
935
944
944
939
944
945
944
944
939
937
944
943
944
944
943
944
939
945
944
944
944
944
944
944
945
944
943
944
944
937
942
938
942
938
939
944
938
944
944
943
944
944
944
941
939
941
944
944
943
944
945
942
945
944
944
944
944
944
938
941
942
943
945
943
940
944
944
