Timestamp,Average latency (ms)
2017-08-18 11:06:55,24
2017-08-18 11:06:55,24
2017-08-18 11:06:58,24
2017-08-18 11:06:58,24
2017-08-18 11:06:58,24
2017-08-18 11:07:00,23
2017-08-18 11:07:01,24
2017-08-18 11:07:02,23
2017-08-18 11:07:06,23
2017-08-18 11:07:08,24
2017-08-18 11:07:11,24
2017-08-18 11:07:12,24
2017-08-18 11:07:12,24
2017-08-18 11:07:16,23
2017-08-18 11:07:16,26
2017-08-18 11:07:17,25
2017-08-18 11:07:21,23
2017-08-18 11:07:22,23
2017-08-18 11:07:27,24
2017-08-18 11:07:28,24
2017-08-18 11:07:34,24
2017-08-18 11:07:38,23
2017-08-18 11:07:39,23
2017-08-18 11:07:43,24
2017-08-18 11:07:45,24
2017-08-18 11:07:46,23
2017-08-18 11:07:47,24
2017-08-18 11:07:48,23
2017-08-18 11:07:49,24
2017-08-18 11:07:49,25
2017-08-18 11:07:51,23
2017-08-18 11:07:52,24
2017-08-18 11:07:54,24
2017-08-18 11:07:55,24
2017-08-18 11:07:58,23
2017-08-18 11:07:58,24
2017-08-18 11:07:59,23
2017-08-18 11:08:09,24
2017-08-18 11:08:12,23
2017-08-18 11:08:14,22
2017-08-18 11:08:14,23
2017-08-18 11:08:15,24
2017-08-18 11:08:19,24
2017-08-18 11:08:19,24
2017-08-18 11:08:20,24
2017-08-18 11:08:25,24
2017-08-18 11:08:36,24
2017-08-18 11:08:37,24
2017-08-18 11:08:39,24
2017-08-18 11:08:41,23
2017-08-18 11:08:43,24
2017-08-18 11:08:53,26
2017-08-18 11:08:53,23
2017-08-18 11:08:56,22
2017-08-18 11:08:56,23
2017-08-18 11:09:00,23
2017-08-18 11:09:01,22
2017-08-18 11:09:06,23
2017-08-18 11:09:18,23
2017-08-18 11:09:23,23
2017-08-18 11:09:25,23
2017-08-18 11:09:26,23
2017-08-18 11:09:27,23
2017-08-18 11:09:31,23
2017-08-18 11:09:32,23
2017-08-18 11:09:34,23
2017-08-18 11:09:38,22
2017-08-18 11:09:40,23
2017-08-18 11:09:44,23
2017-08-18 11:09:46,23
2017-08-18 11:09:47,22
2017-08-18 11:09:47,22
2017-08-18 11:09:48,22
2017-08-18 11:09:51,23
2017-08-18 11:09:52,22
2017-08-18 11:09:55,23
2017-08-18 11:09:57,23
2017-08-18 11:09:57,23
2017-08-18 11:09:57,23
2017-08-18 11:09:58,22
2017-08-18 11:09:58,22
2017-08-18 11:09:58,23
2017-08-18 11:09:58,24
2017-08-18 11:10:01,22
2017-08-18 11:10:04,23
2017-08-18 11:10:09,23
2017-08-18 11:10:10,56
2017-08-18 11:10:11,23
2017-08-18 11:10:11,22
2017-08-18 11:10:12,22
2017-08-18 11:10:12,23
2017-08-18 11:10:12,23
2017-08-18 11:10:13,24
2017-08-18 11:10:13,22
2017-08-18 11:10:20,22
2017-08-18 11:10:21,23
2017-08-18 11:10:22,23
2017-08-18 11:10:22,23
2017-08-18 11:10:25,23
2017-08-18 11:10:30,24
2017-08-18 11:10:30,28
2017-08-18 11:10:31,24
2017-08-18 11:10:31,27
2017-08-18 11:10:32,23
2017-08-18 11:10:33,23
2017-08-18 11:10:35,24
2017-08-18 11:10:37,24
2017-08-18 11:10:40,24
2017-08-18 11:10:40,24
2017-08-18 11:10:42,23
