events count, average value,lower bound - 0.3, upper bound - 0.3, timeSpent
1,9430.0,6601.0,12259.0,0
2,5766.53947368,4036.57763158,7496.50131579,50
3,5368.46794872,3757.9275641,6979.00833333,117
4,5499.29317269,3849.50522088,7149.0811245,146
5,5455.77439024,3819.04207317,7092.50670732,176
6,5455.99513382,3819.19659367,7092.79367397,196
7,5383.91091314,3768.7376392,6999.08418708,221
8,5246.72264151,3672.70584906,6820.73943396,289
9,5253.40099834,3677.38069884,6829.42129784,353
10,5211.0147929,3647.71035503,6774.31923077,445
11,5170.45672437,3619.31970706,6721.59374168,533
12,5169.16585956,3618.41610169,6719.91561743,627
13,5164.82463929,3615.3772475,6714.27203108,716
14,5173.93852459,3621.75696721,6726.12008197,806
15,5147.57564225,3603.30294957,6691.84833492,908
16,5142.3401421,3599.63809947,6685.04218472,1002
17,5163.5653622,3614.49575354,6712.63497086,1091
18,5181.68416928,3627.1789185,6736.18942006,1180
19,5172.78904515,3620.95233161,6724.6257587,1286
20,5161.97615708,3613.38330996,6710.56900421,1380
21,5194.91472352,3636.44030646,6753.38914057,1462
22,5173.45685279,3621.41979695,6725.49390863,1555
23,5150.16596002,3605.11617202,6695.21574803,1636
24,5150.14426419,3605.10098494,6695.18754345,1722
25,5145.93225986,3602.1525819,6689.71193781,1807
26,5151.65138593,3606.15597015,6697.14680171,1894
27,5126.77396207,3588.74177345,6664.80615069,1997
28,5119.90918065,3583.93642646,6655.88193485,2087
29,5123.18324607,3586.22827225,6660.1382199,2183
30,5126.29549632,3588.40684743,6664.18414522,2276
31,5107.52065749,3575.26446024,6639.77685473,2364
32,5113.29965606,3579.30975924,6647.28955288,2450
33,5119.45814244,3583.62069971,6655.29558517,2533
34,5111.27504039,3577.89252827,6644.6575525,2620
35,5107.95570365,3575.56899255,6640.34241474,2710
36,5110.5727342,3577.40091394,6643.74455446,2798
37,5115.30951499,3580.7166605,6649.90236949,2886
38,5112.74027378,3578.91819164,6646.56235591,2975
39,5107.24763241,3575.07334269,6639.42192213,3099
40,5106.25700615,3574.37990431,6638.134108,3221
41,5101.7844052,3571.24908364,6632.31972676,3338
42,5087.99219766,3561.59453836,6614.38985696,3426
43,5086.09425579,3560.26597905,6611.92253253,3512
44,5085.95350279,3560.16745195,6611.73955363,3598
45,5089.10178734,3562.37125114,6615.83232354,3688
46,5085.45556872,3559.8188981,6611.09223934,3759
