events in window,maxHumidity
1000, 9984
775, 9998
1000, 9985
1000, 9998
1000, 9990
0, 0
1000, 9965
629, 9938
3, 9717
361, 9980
1000, 9985
138, 9952
439, 9965
1000, 9982
390, 9982
205, 9872
1000, 9995
0, 0
753, 9994
809, 9994
1000, 9972
428, 9979
218, 9999
1000, 9996
557, 9994
68, 9810
1000, 9999
0, 0
944, 9998
618, 9996
1000, 9986
321, 9981
250, 9987
1000, 9996
541, 9997
6, 9441
0, 0
0, 0
973, 9994
229, 9966
6, 9536
339, 9997
0, 0
914, 9994
0, 0
669, 9983
455, 9927
11, 9412
12, 6845
515, 9997
1000, 9997
47, 9803
506, 9990
0, 0
0, 0
870, 9996
24, 9614
154, 9966
1000, 9999
105, 9994
502, 9982
1000, 9995
2, 9838
0, 0
565, 9997
742, 9985
0, 0
60, 9867
195, 9998
1000, 9993
205, 9999
297, 9954
1000, 9977
193, 9903
381, 9985
1000, 9989
35, 9702
536, 9991
0, 0
560, 9931
918, 9996
356, 9965
233, 9939
0, 0
0, 0
1000, 9999
293, 9967
3, 7712
779, 9992
327, 9979
0, 0
199, 9967
868, 9980
709, 9980
0, 0
859, 9992
0, 0
748, 9998
670, 9994
