events count, average value,lower bound - 0.3, upper bound - 0.3, timeSpent
264,5487.56382979,3841.29468085,7133.83297872,1040
265,5477.50666667,3834.25466667,7120.75866667,1040
266,5474.99465241,3832.49625668,7117.49304813,1041
267,5468.54691689,3827.98284182,7109.11099196,1041
268,5467.59139785,3827.31397849,7107.8688172,1041
269,5458.55256065,3820.98679245,7096.11832884,1041
270,5460.80810811,3822.56567568,7099.05054054,1041
271,5452.55978261,3816.79184783,7088.32771739,1041
272,5442.74659401,3809.9226158,7075.57057221,1041
273,5455.3442623,3818.74098361,7091.94754098,1041
274,5459.37534247,3821.56273973,7097.18794521,1042
275,5448.33516484,3813.83461538,7082.83571429,1042
276,5457.4077135,3820.18539945,7094.63002755,1042
277,5468.87569061,3828.21298343,7109.53839779,1042
278,5474.09418283,3831.86592798,7116.32243767,1042
279,5468.1884984,3827.73194888,7108.64504792,1042
280,5468.14444444,3827.70111111,7108.58777778,1042
281,5467.79108635,3827.45376045,7108.12841226,1042
282,5476.48882682,3833.54217877,7119.43547486,1043
283,5486.61344538,3840.62941176,7132.59747899,1043
284,5482.01123596,3837.40786517,7126.61460674,1043
285,5484.9943662,3839.49605634,7130.49267606,1043
286,5480.84463277,3836.59124294,7125.0980226,1043
287,5495.87535411,3847.11274788,7144.63796034,1043
288,5484.0,3838.8,7129.2,1043
289,5494.61823362,3846.23276353,7143.0037037,1043
290,5481.80571429,3837.264,7126.34742857,1043
291,5479.6217765,3835.73524355,7123.50830946,1044
292,5473.18103448,3831.22672414,7115.13534483,1057
293,5470.71469741,3829.50028818,7111.92910663,1058
294,5459.81791908,3821.87254335,7097.7632948,1058
295,5450.51014493,3815.35710145,7085.66318841,1058
296,5466.02616279,3826.21831395,7105.83401163,1058
297,5459.26822157,3821.4877551,7097.04868805,1058
298,5461.33040936,3822.93128655,7099.72953216,1058
299,5457.79765396,3820.45835777,7095.13695015,1059
300,5451.26176471,3815.88323529,7086.64029412,1059
301,5438.48672566,3806.94070796,7070.03274336,1059
302,5443.26627219,3810.28639053,7076.24615385,1059
303,5452.29376855,3816.60563798,7087.98189911,1059
304,5449.46428571,3814.625,7084.30357143,1059
305,5449.02089552,3814.31462687,7083.72716418,1060
306,5443.54491018,3810.48143713,7076.60838323,1060
307,5408.93158954,3786.25211268,7031.6110664,1060
308,5446.77177177,3812.74024024,7080.8033033,1064
309,5440.68674699,3808.48072289,7072.89277108,1064
310,5446.81268882,3812.76888218,7080.85649547,1064
311,5436.15757576,3805.31030303,7067.00484848,1064
312,5430.2674772,3801.18723404,7059.34772036,1064
313,5434.00914634,3803.80640244,7064.21189024,1065
314,5423.37003058,3796.35902141,7050.38103976,1065
315,5428.44478528,3799.91134969,7056.97822086,1065
316,5420.39384615,3794.27569231,7046.512,1065
317,5436.14814815,3805.3037037,7066.99259259,1065
318,5402.97590361,3782.08313253,7023.8686747,1069
319,5424.14241486,3796.8996904,7051.38513932,1072
320,5418.40372671,3792.8826087,7043.92484472,1072
321,5428.86915888,3800.20841121,7057.52990654,1072
322,5436.815625,3805.7709375,7067.8603125,1072
323,5425.43573668,3797.80501567,7053.06645768,1072
324,5425.86477987,3798.10534591,7053.62421384,1072
325,5422.49211356,3795.7444795,7049.23974763,1073
326,5393.24248497,3775.26973948,7011.21523046,1074
327,5383.1,3768.17,6998.03,1075
328,5390.46307385,3773.3241517,7007.60199601,1076
329,5387.43625498,3771.20537849,7003.66713147,1082
330,5432.33544304,3802.63481013,7062.03607595,1084
331,5447.04761905,3812.93333333,7081.16190476,1084
332,5456.11464968,3819.28025478,7092.94904459,1084
333,5483.50320513,3838.45224359,7128.55416667,1084
334,5498.17207792,3848.72045455,7147.6237013,1084
335,5517.29508197,3862.10655738,7172.48360656,1084
336,5482.39677419,3837.67774194,7127.11580645,1085
337,5499.65372168,3849.75760518,7149.54983819,1091
338,5509.38762215,3856.5713355,7162.20390879,1101
339,5505.26470588,3853.68529412,7156.84411765,1101
340,5533.35855263,3873.35098684,7193.36611842,1102
341,5519.33663366,3863.53564356,7175.13762376,1102
342,5519.41196013,3863.58837209,7175.23554817,1102
343,5508.25752508,3855.78026756,7160.73478261,1102
344,5524.61073826,3867.22751678,7181.99395973,1102
345,5534.58922559,3874.21245791,7194.96599327,1112
346,5541.46621622,3879.02635135,7203.90608108,1116
347,5557.62372881,3890.33661017,7224.91084746,1116
348,5395.47637795,3776.83346457,7014.11929134,1118
349,5386.01375246,3770.20962672,7001.81787819,1118
350,5391.33137255,3773.93196078,7008.73078431,1118
351,5385.64579256,3769.95205479,7001.33953033,1119
352,5393.60742188,3775.52519531,7011.68964844,1119
353,5551.25510204,3885.87857143,7216.63163265,1120
354,5543.68259386,3880.5778157,7206.78737201,1120
355,5529.00684932,3870.30479452,7187.70890411,1120
356,5522.45017182,3865.71512027,7179.18522337,1120
357,5529.15862069,3870.41103448,7187.9062069,1120
358,5542.28719723,3879.60103806,7204.9733564,1120
359,5539.54861111,3877.68402778,7201.41319444,1120
360,5536.38675958,3875.47073171,7197.30278746,1121
361,5554.20979021,3887.94685315,7220.47272727,1121
362,5540.51578947,3878.36105263,7202.67052632,1121
363,5532.43661972,3872.7056338,7192.16760563,1121
364,5532.6819788,3872.87738516,7192.48657244,1121
365,5529.97163121,3870.98014184,7188.96312057,1121
366,5534.92882562,3874.45017794,7195.40747331,1121
367,5548.24642857,3883.7725,7212.72035714,1121
368,5532.56630824,3872.79641577,7192.33620072,1121
369,5543.70143885,3880.59100719,7206.8118705,1122
370,5537.19494585,3876.03646209,7198.3534296,1122
371,5525.10144928,3867.57101449,7182.63188406,1122
372,5539.07636364,3877.35345455,7200.79927273,1122
373,5543.24817518,3880.27372263,7206.22262774,1122
374,5540.81318681,3878.56923077,7203.05714286,1122
375,5530.75,3871.525,7189.975,1122
376,5515.7601476,3861.03210332,7170.48819188,1122
377,5516.08148148,3861.25703704,7170.90592593,1122
378,5501.58364312,3851.10855019,7152.05873606,1122
379,5491.70895522,3844.19626866,7139.22164179,1123
380,5481.18045113,3836.82631579,7125.53458647,1123
381,5492.17735849,3844.52415094,7139.83056604,1123
382,5494.76515152,3846.33560606,7143.19469697,1123
383,5496.56273764,3847.59391635,7145.53155894,1123
384,5484.22137405,3838.95496183,7129.48778626,1123
385,5472.2605364,3830.58237548,7113.93869732,1123
386,5464.21923077,3824.95346154,7103.485,1123
387,5467.63706564,3827.34594595,7107.92818533,1124
388,5453.55426357,3817.4879845,7089.62054264,1124
389,5471.22957198,3829.86070039,7112.59844358,1124
390,5457.40234375,3820.18164062,7094.62304688,1124
391,5470.38039216,3829.26627451,7111.4945098,1124
392,5479.44488189,3835.61141732,7123.27834646,1130
393,5476.98023715,3833.88616601,7120.0743083,1137
394,5461.59920635,3823.11944444,7100.07896825,1138
395,5453.22,3817.254,7089.186,1140
396,5409.22406639,3786.45684647,7031.99128631,1140
397,5395.12083333,3776.58458333,7013.65708333,1140
398,5397.66945607,3778.36861925,7016.97029289,1142
399,5395.18067227,3776.62647059,7013.73487395,1143
400,5404.29535865,3783.00675105,7025.58396624,1144
401,5406.3940678,3784.47584746,7028.31228814,1144
402,5407.87659574,3785.51361702,7030.23957447,1144
403,5392.2008547,3774.54059829,7009.86111111,1144
404,5413.84120172,3789.6888412,7037.99356223,1146
405,5400.52155172,3780.36508621,7020.67801724,1147
406,5385.16883117,3769.61818182,7000.71948052,1148
407,5386.56521739,3770.59565217,7002.53478261,1149
408,5377.44104803,3764.20873362,6990.67336245,1150
409,5359.03508772,3751.3245614,6966.74561404,1155
410,5350.68722467,3745.48105727,6955.89339207,1155
411,5389.11160714,3772.378125,7005.84508929,1155
412,5388.40807175,3771.88565022,7004.93049327,1156
413,5367.76576577,3757.43603604,6978.0954955,1156
414,5369.53424658,3758.6739726,6980.39452055,1156
415,5383.0960452,3768.16723164,6998.02485876,1156
416,5353.02985075,3747.12089552,6958.93880597,1156
417,5357.505,3750.2535,6964.7565,1157
418,5344.83417085,3741.3839196,6948.28442211,1157
419,5358.45959596,3750.92171717,6965.99747475,1157
420,5379.75257732,3765.82680412,6993.67835052,1157
421,5368.25380711,3757.77766497,6978.72994924,1157
422,5360.14285714,3752.1,6968.18571429,1157
423,5376.70769231,3763.69538462,6989.72,1157
424,5372.05181347,3760.43626943,6983.66735751,1158
425,5348.765625,3744.1359375,6953.3953125,1158
426,5374.73929236,3762.31750466,6987.16108007,1165
427,5371.23560209,3759.86492147,6982.60628272,1166
428,5378.21578947,3764.75105263,6991.68052632,1166
429,5397.72486772,3778.40740741,7017.04232804,1166
430,5382.85638298,3767.99946809,6997.71329787,1166
431,5386.02139037,3770.21497326,7001.82780749,1166
432,5387.20967742,3771.04677419,7003.37258065,1166
433,5402.55675676,3781.78972973,7023.32378378,1167
434,5391.39130435,3773.97391304,7008.80869565,1168
435,5397.72677596,3778.40874317,7017.04480874,1169
436,5382.54395604,3767.78076923,6997.30714286,1170
437,5360.44751381,3752.31325967,6968.58176796,1170
438,5373.50555556,3761.45388889,6985.55722222,1170
439,5373.12290503,3761.18603352,6985.05977654,1170
440,5365.97191011,3756.18033708,6975.76348315,1172
441,5376.22727273,3763.35909091,6989.09545455,1172
442,5370.74269006,3759.51988304,6981.96549708,1172
443,5379.02222222,3765.31555556,6992.72888889,1174
444,5352.16146789,3746.51302752,6957.80990826,1181
445,5345.0,3741.5,6948.5,1181
446,5358.12571429,3750.688,6965.56342857,1188
447,5373.35057471,3761.3454023,6985.35574713,1201
448,5364.12138728,3754.8849711,6973.35780347,1203
449,5399.57058824,3779.69941176,7019.44176471,1208
450,5396.06508876,3777.24556213,7014.88461538,1210
451,5408.35714286,3785.85,7030.86428571,1211
452,5435.54491018,3804.88143713,7066.20838323,1212
453,5451.49390244,3816.04573171,7086.94207317,1216
454,5416.65060241,3791.65542169,7041.64578313,1218
455,5445.13333333,3811.59333333,7078.67333333,1219
456,5274.30420168,3692.01294118,6856.59546218,1224
457,5268.68686869,3688.08080808,6849.29292929,1225
458,5274.34907251,3692.04435076,6856.65379427,1226
459,5274.32094595,3692.02466216,6856.61722973,1228
460,5277.29103215,3694.1037225,6860.47834179,1229
461,5271.65932203,3690.16152542,6853.15711864,1230
462,5268.6910017,3688.08370119,6849.29830221,1231
463,5274.9829932,3692.48809524,6857.47789116,1237
464,5275.49063032,3692.84344123,6858.13781942,1238
465,5276.64505119,3693.65153584,6859.63856655,1239
466,5279.18119658,3695.42683761,6862.93555556,1240
467,5269.29362416,3688.50553691,6850.08171141,1242
468,5283.20890411,3698.24623288,6868.17157534,1249
469,5283.34991424,3698.34493997,6868.35488851,1249
470,5292.02405498,3704.41683849,6879.63127148,1249
471,5296.3080895,3707.41566265,6885.20051635,1249
472,5293.52241379,3705.46568966,6881.57913793,1250
473,5301.89982729,3711.3298791,6892.46977547,1250
474,5300.93944637,3710.65761246,6891.22128028,1250
475,5299.20623917,3709.44436742,6888.96811092,1253
476,5299.15451389,3709.40815972,6888.90086806,1254
477,5301.83826087,3711.28678261,6892.38973913,1254
478,5294.0087108,3705.80609756,6882.21132404,1254
479,5301.10471204,3710.77329843,6891.43612565,1254
480,5297.45454545,3708.21818182,6886.69090909,1254
481,5298.32574431,3708.82802102,6887.8234676,1254
482,5306.69473684,3714.68631579,6898.70315789,1255
483,5301.12653779,3710.78857645,6891.46449912,1255
484,5307.33098592,3715.13169014,6899.53028169,1255
485,5299.78483245,3709.84938272,6889.72028219,1255
486,5295.18021201,3706.62614841,6883.73427562,1255
487,5289.33274336,3702.53292035,6876.13256637,1255
488,5297.56205674,3708.29343972,6886.83067376,1257
489,5290.49023091,3703.34316163,6877.63730018,1257
490,5298.66903915,3709.0683274,6888.26975089,1257
491,5293.40463458,3705.38324421,6881.42602496,1257
492,5285.2875,3699.70125,6870.87375,1257
493,5293.27906977,3705.29534884,6881.2627907,1257
494,5301.92114695,3711.34480287,6892.49749104,1268
495,5309.10412926,3716.37289048,6901.83536804,1268
496,5318.53417266,3722.97392086,6914.09442446,1268
497,5313.05405405,3719.13783784,6906.97027027,1268
498,5319.31949458,3723.52364621,6915.11534296,1284
499,5312.82640145,3718.97848101,6906.67432188,1284
500,5317.79166667,3722.45416667,6913.12916667,1284
501,5323.67513612,3726.57259528,6920.77767695,1284
502,5328.52181818,3729.96527273,6927.07836364,1284
503,5325.68852459,3727.98196721,6923.39508197,1285
504,5330.04744526,3731.03321168,6929.06167883,1285
505,5335.70566728,3734.99396709,6936.41736746,1285
506,5344.47435897,3741.13205128,6947.81666667,1285
507,5358.01654412,3750.61158088,6965.42150735,1286
508,5361.72559853,3753.20791897,6970.24327808,1292
509,5274.69933555,3692.28953488,6857.10913621,1294
510,5369.36715867,3758.55701107,6980.17730627,1306
511,5369.81700555,3758.87190388,6980.76210721,1308
512,5380.37847866,3766.26493506,6994.49202226,1310
513,5380.05390335,3766.03773234,6994.07007435,1311
514,5370.4738806,3759.33171642,6981.61604478,1320
515,5376.15700935,3763.30990654,6989.00411215,1320
516,5384.84831461,3769.39382022,7000.30280899,1320
517,5376.91181989,3763.83827392,6989.98536585,1321
518,5376.29135338,3763.40394737,6989.1787594,1321
519,5369.33145009,3758.53201507,6980.13088512,1326
520,5375.18490566,3762.62943396,6987.74037736,1327
521,5371.1852552,3759.82967864,6982.54083176,1329
522,5377.31628788,3764.12140152,6990.51117424,1331
523,5370.68690702,3759.48083491,6981.89297913,1333
524,5377.71863118,3764.40304183,6991.03422053,1335
525,5379.06285714,3765.344,6992.78171429,1336
526,5370.60114504,3759.42080153,6981.78148855,1342
527,5364.86806883,3755.40764818,6974.32848948,1345
528,5364.11302682,3754.87911877,6973.34693487,1347
529,5373.30710173,3761.31497121,6985.29923225,1348
530,5378.23461538,3764.76423077,6991.705,1349
531,5381.73410405,3767.21387283,6996.25433526,1351
532,5388.36293436,3771.85405405,7004.87181467,1362
533,5387.84526112,3771.49168279,7004.19883946,1365
534,5387.54844961,3771.28391473,7003.8129845,1367
535,5383.91067961,3768.73747573,6999.0838835,1368
536,5393.49416342,3775.4459144,7011.54241245,1370
537,5266.45950413,3686.52165289,6846.39735537,1371
538,5259.69636964,3681.78745875,6837.60528053,1380
539,5395.31578947,3776.72105263,7013.91052632,1380
540,5389.54635108,3772.68244576,7006.41025641,1381
541,5390.50197628,3773.3513834,7007.65256917,1382
542,5386.8019802,3770.76138614,7002.84257426,1382
543,5389.58531746,3772.70972222,7006.4609127,1382
544,5393.21272366,3775.24890656,7011.17654076,1383
545,5411.0,3787.7,7034.3,1383
546,5416.11717172,3791.2820202,7040.95232323,1383
547,5421.29352227,3794.90546559,7047.68157895,1383
548,5420.09756098,3794.06829268,7046.12682927,1383
549,5425.43788187,3797.80651731,7053.06924644,1383
550,5420.55918367,3794.39142857,7046.72693878,1384
551,5417.16564417,3792.01595092,7042.31533742,1384
552,5417.50819672,3792.2557377,7042.76065574,1392
553,5414.02464066,3789.81724846,7038.23203285,1392
