Buildfile: /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/build.xml

init:

compile:
    [javac] /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/build.xml:87: warning: 'includeantruntime' was not set, defaulting to build.sysclasspath=last; set to false for repeatable builds
     [copy] Copying 1 file to /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/temp/classes

run:
     [echo] Configure optionally use -DelapsedCount=xxxx -Dprotocol='thrift/binary' -Dhost=xxxx -Dport=xxxx
     [echo]             -DcalcType='throughput/latency'
     [echo]         
     [java] Shutdown hook added.
     [java] PUNCTUATION SERVER started................
     [java] Unable to determine dialect of the StAX implementation at jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/axiom_1.2.11.wso2v11.jar!/
     [java] SLF4J: Class path contains multiple SLF4J bindings.
     [java] SLF4J: Found binding in [jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/slf4j.log4j12_1.7.13.jar!/org/slf4j/impl/StaticLoggerBinder.class]
     [java] SLF4J: Found binding in [jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/slf4j.log4j12_1.7.21.jar!/org/slf4j/impl/StaticLoggerBinder.class]
     [java] SLF4J: See http://www.slf4j.org/codes.html#multiple_bindings for an explanation.
     [java] Thrift Server started at localhost
     [java] Thrift SSL port : 7761
     [java] Thrift port : 7661
     [java] Test Server Started
     [java] user admin connected
     [java] Event: count : 59, avgHumidity : 5361.677966101695, timeSpent : 70
     [java] Event: count : 58, avgHumidity : 5328.741379310345, timeSpent : 70
     [java] Event: count : 57, avgHumidity : 5348.491228070176, timeSpent : 70
     [java] Event: count : 56, avgHumidity : 5376.696428571428, timeSpent : 71
     [java] Event: count : 55, avgHumidity : 5468.709090909091, timeSpent : 71
     [java] Event: count : 54, avgHumidity : 5397.5, timeSpent : 71
     [java] Event: count : 78, avgHumidity : 5572.128205128205, timeSpent : 71
     [java] Event: count : 80, avgHumidity : 5607.3875, timeSpent : 72
     [java] Event: count : 82, avgHumidity : 5613.743902439024, timeSpent : 72
     [java] Event: count : 83, avgHumidity : 5548.21686746988, timeSpent : 73
     [java] Event: count : 85, avgHumidity : 5583.541176470589, timeSpent : 73
     [java] Event: count : 87, avgHumidity : 5647.551724137931, timeSpent : 73
     [java] Event: count : 88, avgHumidity : 5598.215909090909, timeSpent : 73
     [java] Event: count : 89, avgHumidity : 5575.595505617977, timeSpent : 74
     [java] Event: count : 90, avgHumidity : 5598.266666666666, timeSpent : 74
     [java] Event: count : 91, avgHumidity : 5560.428571428572, timeSpent : 74
     [java] Event: count : 53, avgHumidity : 5481.547169811321, timeSpent : 75
     [java] Event: count : 52, avgHumidity : 5547.365384615385, timeSpent : 75
     [java] Event: count : 51, avgHumidity : 5599.549019607844, timeSpent : 75
     [java] Event: count : 50, avgHumidity : 5530.2, timeSpent : 75
     [java] Event: count : 49, avgHumidity : 5535.122448979592, timeSpent : 75
