events count, average value, timeSpent
1,6801.0,0
2,6060.176470588235,1
3,5936.2,36
4,5870.125,36
5,6200.733333333334,37
6,5950.357142857143,37
7,5714.923076923077,38
8,5610.333333333333,38
9,5268.272727272727,38
10,5944.111111111111,38
11,5316.139534883721,39
12,5417.955555555555,39
13,4249.0,39
14,5580.3,39
15,4716.0,40
16,5931.125,40
17,6325.857142857143,40
18,6219.0,40
19,5346.021739130435,41
20,5342.318181818182,41
21,5276.380952380952,41
22,5269.951219512195,41
23,5183.45,41
24,5371.468085106383,42
25,5082.923076923077,42
26,5092.210526315789,42
27,5201.4324324324325,43
28,5165.5,43
29,5135.171428571429,43
30,5111.029411764706,43
31,5454.0,48
32,5031.121212121212,51
33,5163.40625,52
34,5255.387096774193,53
35,5343.9,53
36,5509.25,53
37,5470.3448275862065,53
38,5641.071428571428,54
39,5599.088235294118,54
40,5661.740740740741,54
41,5581.260869565217,54
42,5873.7307692307695,55
43,6026.48,55
44,5524.083333333333,56
45,5995.458333333333,66
46,6176.304347826087,66
47,6428.227272727273,67
48,5562.298701298701,67
49,6268.523809523809,67
50,6188.55,67
51,6061.315789473684,67
52,6143.666666666667,67
53,5062.75,68
54,5513.894736842105,68
55,5471.8,68
56,5544.216216216216,68
57,5513.534246575343,68
58,5548.042253521126,68
59,5535.828571428571,68
60,5535.955223880597,69
61,5507.151515151515,69
62,5477.0,69
63,5454.428571428572,69
64,5494.693548387097,69
65,5463.88524590164,69
66,5420.866666666667,70
67,5361.677966101695,70
68,5328.741379310345,70
69,5348.491228070176,70
70,5376.696428571428,71
71,5468.709090909091,71
72,5397.5,71
73,5572.128205128205,71
74,5607.3875,72
75,5613.743902439024,72
76,5548.21686746988,73
77,5583.541176470589,73
78,5647.551724137931,73
79,5598.215909090909,73
80,5575.595505617977,74
81,5598.266666666666,74
82,5560.428571428572,74
83,5481.547169811321,75
84,5547.365384615385,75
85,5599.549019607844,75
86,5530.2,75
87,5535.122448979592,75
88,5572.073684210526,78
89,5535.031914893617,78
90,5585.602150537635,82
91,5603.010869565217,82
92,5599.476744186047,82
93,5597.357142857143,82
94,5661.358024691358,83
95,5599.329113924051,85
96,5563.670103092783,85
97,5557.25,85
98,5585.393939393939,85
99,5564.0204081632655,86
100,5640.431372549019,86
101,5638.6138613861385,86
102,5617.75,86
103,5662.174757281553,86
104,5629.885714285714,86
105,5669.301886792453,87
106,5700.064220183486,87
107,5639.557692307692,87
108,5732.418181818181,87
109,5693.425925925926,87
110,5684.336448598131,87
111,5647.0,87
112,5682.990990990991,88
113,5648.238938053098,88
114,5604.859649122807,88
115,5630.791304347826,88
116,5593.362068965517,89
117,5548.401709401709,89
118,5560.949152542373,89
119,5584.563025210084,89
120,5537.0495867768595,90
121,5568.583333333333,90
122,5570.1557377049185,90
123,5595.642276422765,90
124,5600.790322580645,90
125,5564.6,90
126,5598.484126984127,91
127,5603.220472440945,91
128,5598.28125,91
129,5608.3178294573645,91
130,5596.492307692308,92
131,5616.0687022900765,92
132,5594.780303030303,92
133,5602.887218045113,92
134,5579.126865671642,93
135,5600.34074074074,93
136,5582.308823529412,93
137,5614.2773722627735,93
138,5605.565217391304,94
139,5583.661870503597,94
140,5548.314285714286,94
141,5533.780141843971,95
142,5500.267605633803,95
143,5513.762237762237,95
144,5529.430555555556,95
145,5515.9655172413795,96
146,5490.068493150685,96
147,5496.578231292517,96
148,5535.432098765432,104
149,5534.341463414634,104
150,5534.98773006135,104
151,5585.236686390533,104
152,5544.11801242236,105
153,5567.48125,105
154,5587.169811320755,105
155,5559.727848101265,106
156,5548.350318471337,107
157,5527.025641025641,108
158,5551.832258064516,109
159,5547.571428571428,110
160,5555.098039215686,110
161,5537.184210526316,113
162,5510.324503311258,113
163,5494.826666666667,114
164,5468.234899328859,114
165,5502.216216216216,114
166,5553.353535353535,114
167,5543.467005076142,115
168,5561.408163265306,115
169,5564.917948717949,115
170,5542.680412371134,116
171,5552.673575129534,116
172,5561.677083333333,116
173,5584.680628272251,116
174,5604.273684210526,116
175,5603.137566137566,116
176,5596.015957446809,117
177,5584.35294117647,117
178,5593.736559139785,117
179,5587.643243243243,117
180,5581.445652173913,117
181,5587.207650273224,117
182,5571.417582417583,118
183,5562.883977900552,118
184,5558.368715083799,118
185,5567.072222222222,119
186,5558.162921348315,119
187,5534.920903954802,119
188,5516.454545454545,120
189,5534.5257142857145,120
190,5512.328431372549,120
191,5513.453658536585,120
192,5502.834951456311,121
193,5555.16091954023,122
194,5562.7558139534885,122
195,5545.439306358381,122
196,5568.567251461988,123
197,5581.923529411764,123
198,5576.285714285715,123
199,5577.802395209581,123
200,5562.319277108434,123
201,5538.963636363636,123
202,5502.4187192118225,124
203,5499.252475247525,124
204,5526.55223880597,124
205,5517.84541062802,124
206,5530.085,124
207,5540.537688442211,124
208,5491.961538461538,125
209,5470.755980861244,125
210,5480.338095238095,127
211,5469.1220657277,127
212,5471.8490566037735,127
213,5476.436018957346,127
214,5492.2962962962965,127
215,5483.33023255814,127
216,5480.892523364486,127
217,5488.98623853211,128
218,5490.593607305936,128
219,5488.8663594470045,128
220,5495.914414414415,128
221,5478.986425339366,129
222,5485.263636363637,129
223,5485.533632286995,129
224,5468.956140350877,130
225,5489.3964757709255,131
226,5482.08407079646,135
227,5473.544444444445,135
228,5467.906666666667,135
229,5490.8125,135
230,5470.749077490775,136
231,5493.401486988848,136
232,5480.641791044776,136
233,5483.558052434457,136
234,5469.868421052632,136
235,5486.679245283019,136
236,5474.117424242424,136
237,5465.939163498098,137
238,5456.679389312977,137
239,5476.233716475096,137
240,5481.176923076923,137
241,5495.173745173745,137
242,5489.596899224806,137
243,5481.836575875486,137
244,5474.484375,138
245,5488.450980392156,138
246,5474.350393700787,138
247,5466.067193675889,138
248,5494.959706959707,138
249,5470.146825396825,138
250,5462.019920318725,139
251,5488.116788321168,139
252,5474.344,139
253,5522.232394366197,141
254,5517.060200668896,143
255,5518.61,146
256,5464.995983935743,147
257,5446.26517571885,148
258,5482.862903225807,149
