events count, average value
1,0.0
2,4.333333333333333
3,3.5
4,4.5
5,3.8
6,3.8333333333333335
7,4.571428571428571
8,4.0
9,3.6666666666666665
10,3.8181818181818183
11,4.3076923076923075
12,4.0
13,3.5
14,4.642857142857143
15,4.533333333333333
16,4.4375
17,4.470588235294118
18,4.444444444444445
19,4.315789473684211
20,4.095238095238095
21,4.25
22,3.9130434782608696
23,3.7916666666666665
24,3.72
25,3.6923076923076925
26,3.7037037037037037
27,3.75
28,3.8275862068965516
29,4.090909090909091
30,3.8666666666666667
31,4.032258064516129
32,4.0
33,4.117647058823529
34,4.0
35,4.0285714285714285
36,4.0
37,4.105263157894737
38,4.128205128205129
39,4.25
40,4.146341463414634
41,4.071428571428571
42,4.023255813953488
43,4.0
44,4.021739130434782
45,4.0
46,4.125
47,4.3
48,4.0638297872340425
49,4.204081632653061
50,4.333333333333333
51,4.25
52,4.188679245283019
53,4.148148148148148
54,4.127272727272727
55,4.142857142857143
56,4.140350877192983
57,4.172413793103448
58,4.237288135593221
59,4.316666666666666
60,4.245901639344262
61,4.193548387096774
62,4.158730158730159
63,4.15625
64,4.2272727272727275
65,4.125
66,4.279411764705882
67,4.223880597014926
68,4.371428571428571
69,4.323943661971831
70,4.333333333333333
71,4.297297297297297
72,4.304347826086956
73,4.301369863013699
74,4.32
75,4.355263157894737
76,4.402597402597403
77,4.405063291139241
78,4.461538461538462
79,4.3625
80,4.333333333333333
81,4.317073170731708
82,4.313253012048193
83,4.321428571428571
84,4.341176470588235
85,4.372093023255814
86,4.413793103448276
87,4.465909090909091
88,4.415730337078652
89,4.377777777777778
90,4.351648351648351
91,4.336956521739131
92,4.333333333333333
93,4.340425531914893
94,4.3578947368421055
95,4.385416666666667
96,4.43298969072165
97,4.387755102040816
98,4.353535353535354
99,4.33
100,4.316831683168317
101,4.303921568627451
102,4.184615384615385
103,4.304761904761905
104,4.398148148148148
105,4.349514563106796
106,4.385321100917431
107,4.375
108,4.336283185840708
109,4.307017543859649
110,4.3076923076923075
111,4.333333333333333
112,4.363636363636363
113,4.364485981308412
114,4.321739130434783
115,4.3474576271186445
116,4.384615384615385
117,4.344827586206897
118,4.380165289256198
119,4.341666666666667
120,4.3277310924369745
121,4.368852459016393
122,4.354838709677419
123,4.357723577235772
124,4.36
125,4.339622641509434
126,4.373015873015873
127,4.359375
128,4.325581395348837
129,4.3
130,4.2706766917293235
131,4.2727272727272725
132,4.282442748091603
133,4.333333333333333
134,4.299270072992701
135,4.338582677165355
136,4.303703703703704
137,4.276119402985074
138,4.302158273381295
139,4.292857142857143
140,4.2695035460992905
141,4.274647887323944
142,4.293706293706293
143,4.321917808219178
144,4.286764705882353
145,4.3175675675675675
146,4.3517241379310345
147,4.293333333333333
148,4.291390728476821
149,4.296052631578948
150,4.30718954248366
151,4.324675324675325
152,4.348387096774194
153,4.378205128205129
154,4.319444444444445
155,4.479381443298969
156,4.454081632653061
157,4.436548223350254
158,4.424242424242424
159,4.417085427135678
160,4.415
161,4.417910447761194
162,4.461139896373057
163,4.453125
164,4.43455497382199
165,4.426315789473684
166,4.439153439153439
167,4.441489361702128
168,4.451219512195122
169,4.438502673796791
170,4.446236559139785
171,4.443243243243243
172,4.429347826086956
173,4.415300546448087
174,4.434065934065934
