event count, events value, impact
286,8.0,0.0019040259022137746
287,9.0,0.002447652611873206
288,0.0,0.0024449877750610852
289,1.0,0.001901361065401851
290,2.0,0.0013577343557424197
291,3.0,8.141076460829881E-4
292,4.0,2.7048093642375405E-4
293,5.0,2.7314577323567745E-4
294,6.0,8.16772482895109E-4
295,7.0,0.001360399192554343
296,8.0,0.0019040259022137746
297,9.0,0.002447652611873206
298,0.0,0.0024449877750610852
299,1.0,0.001901361065401851
300,2.0,0.0013577343557424197
301,3.0,8.141076460829881E-4
302,4.0,2.7048093642375405E-4
303,5.0,2.7314577323567745E-4
304,6.0,8.16772482895109E-4
305,7.0,0.001360399192554343
306,8.0,0.0019040259022137746
307,9.0,0.002447652611873206
308,0.0,0.0024449877750610852
309,1.0,0.001901361065401851
310,2.0,0.0013577343557424197
311,3.0,8.141076460829881E-4
312,4.0,2.7048093642375405E-4
313,5.0,2.7314577323567745E-4
314,6.0,8.16772482895109E-4
315,7.0,0.001360399192554343
316,8.0,0.0019040259022137746
317,9.0,0.002447652611873206
318,0.0,0.0024449877750610852
319,1.0,0.001901361065401851
320,2.0,0.0013577343557424197
321,3.0,8.141076460829881E-4
322,4.0,2.7048093642375405E-4
323,5.0,2.7314577323567745E-4
324,6.0,8.16772482895109E-4
325,7.0,0.001360399192554343
326,8.0,0.0019040259022137746
327,9.0,0.002447652611873206
328,0.0,0.0024449877750610852
329,1.0,0.001901361065401851
330,2.0,0.0013577343557424197
331,3.0,8.141076460829881E-4
332,4.0,2.7048093642375405E-4
333,5.0,2.7314577323567745E-4
334,6.0,8.16772482895109E-4
335,7.0,0.001360399192554343
336,8.0,0.0019040259022137746
337,9.0,0.002447652611873206
338,0.0,0.0024449877750610852
339,1.0,0.001901361065401851
340,2.0,0.0013577343557424197
341,3.0,8.141076460829881E-4
342,4.0,2.7048093642375405E-4
343,5.0,2.7314577323567745E-4
344,6.0,8.16772482895109E-4
345,7.0,0.001360399192554343
346,8.0,0.0019040259022137746
347,9.0,0.002447652611873206
348,0.0,0.0024449877750610852
349,1.0,0.001901361065401851
350,2.0,0.0013577343557424197
351,3.0,8.141076460829881E-4
352,4.0,2.7048093642375405E-4
353,5.0,2.7314577323567745E-4
354,6.0,8.16772482895109E-4
355,7.0,0.001360399192554343
356,8.0,0.0019040259022137746
357,9.0,0.002447652611873206
358,0.0,0.0024449877750610852
359,1.0,0.001901361065401851
360,2.0,0.0013577343557424197
361,3.0,8.141076460829881E-4
362,4.0,2.7048093642375405E-4
363,5.0,2.7314577323567745E-4
364,6.0,8.16772482895109E-4
365,7.0,0.001360399192554343
366,8.0,0.0019040259022137746
367,9.0,0.002447652611873206
368,0.0,0.0024449877750610852
369,1.0,0.001901361065401851
370,2.0,0.0013577343557424197
371,3.0,8.141076460829881E-4
372,4.0,2.7048093642375405E-4
373,5.0,2.7314577323567745E-4
374,6.0,8.16772482895109E-4
375,7.0,0.001360399192554343
376,8.0,0.0019040259022137746
377,9.0,0.002447652611873206
378,0.0,0.0024449877750610852
379,1.0,0.001901361065401851
380,2.0,0.0013577343557424197
381,3.0,8.141076460829881E-4
382,4.0,2.7048093642375405E-4
383,5.0,2.7314577323567745E-4
384,6.0,8.16772482895109E-4
385,7.0,0.001360399192554343
386,8.0,0.0019040259022137746
387,9.0,0.002447652611873206
388,0.0,0.0024449877750610852
389,1.0,0.001901361065401851
390,2.0,0.0013577343557424197
391,3.0,8.141076460829881E-4
392,4.0,2.7048093642375405E-4
393,5.0,2.7314577323567745E-4
394,6.0,8.16772482895109E-4
395,7.0,0.001360399192554343
396,8.0,0.0019040259022137746
397,9.0,0.002447652611873206
398,0.0,0.0024449877750610852
399,1.0,0.001901361065401851
400,2.0,0.0013577343557424197
401,3.0,8.141076460829881E-4
402,4.0,2.7048093642375405E-4
403,5.0,2.7314577323567745E-4
404,6.0,8.16772482895109E-4
405,7.0,0.001360399192554343
406,8.0,0.0019040259022137746
407,9.0,0.002447652611873206
408,0.0,0.0024449877750610852
409,1.0,0.001901361065401851
410,2.0,0.0013577343557424197
411,3.0,8.141076460829881E-4
412,4.0,2.7048093642375405E-4
413,5.0,2.7314577323567745E-4
414,6.0,8.16772482895109E-4
415,7.0,0.001360399192554343
416,8.0,0.0019040259022137746
417,9.0,0.002447652611873206
418,0.0,0.0024449877750610852
419,1.0,0.001901361065401851
420,2.0,0.0013577343557424197
421,3.0,8.141076460829881E-4
422,4.0,2.7048093642375405E-4
423,5.0,2.7314577323567745E-4
424,6.0,8.16772482895109E-4
425,7.0,0.001360399192554343
426,8.0,0.0019040259022137746
427,9.0,0.002447652611873206
428,0.0,0.0024449877750610852
429,1.0,0.001901361065401851
430,2.0,0.0013577343557424197
431,3.0,8.141076460829881E-4
432,4.0,2.7048093642375405E-4
433,5.0,2.7314577323567745E-4
434,6.0,8.16772482895109E-4
435,7.0,0.001360399192554343
436,8.0,0.0019040259022137746
437,9.0,0.002447652611873206
438,0.0,0.0024449877750610852
439,1.0,0.001901361065401851
440,2.0,0.0013577343557424197
441,3.0,8.141076460829881E-4
442,4.0,2.7048093642375405E-4
443,5.0,2.7314577323567745E-4
444,6.0,8.16772482895109E-4
445,7.0,0.001360399192554343
446,8.0,0.0019040259022137746
447,9.0,0.002447652611873206
448,0.0,0.0024449877750610852
449,1.0,0.001901361065401851
450,2.0,0.0013577343557424197
451,3.0,8.141076460829881E-4
452,4.0,2.7048093642375405E-4
453,5.0,2.7314577323567745E-4
454,6.0,8.16772482895109E-4
455,7.0,0.001360399192554343
456,8.0,0.0019040259022137746
457,9.0,0.002447652611873206
458,0.0,0.0024449877750610852
459,1.0,0.001901361065401851
460,2.0,0.0013577343557424197
461,3.0,8.141076460829881E-4
462,4.0,2.7048093642375405E-4
463,5.0,2.7314577323567745E-4
464,6.0,8.16772482895109E-4
465,7.0,0.001360399192554343
466,8.0,0.0019040259022137746
467,9.0,0.002447652611873206
468,0.0,0.0024449877750610852
469,1.0,0.001901361065401851
470,2.0,0.0013577343557424197
471,3.0,8.141076460829881E-4
472,4.0,2.7048093642375405E-4
473,5.0,2.7314577323567745E-4
474,6.0,8.16772482895109E-4
475,7.0,0.001360399192554343
476,8.0,0.0019040259022137746
477,9.0,0.002447652611873206
478,0.0,0.0024449877750610852
479,1.0,0.001901361065401851
480,2.0,0.0013577343557424197
481,3.0,8.141076460829881E-4
482,4.0,2.7048093642375405E-4
483,5.0,2.7314577323567745E-4
484,6.0,8.16772482895109E-4
485,7.0,0.001360399192554343
486,8.0,0.0019040259022137746
487,9.0,0.002447652611873206
488,0.0,0.0024449877750610852
489,1.0,0.001901361065401851
490,2.0,0.0013577343557424197
491,3.0,8.141076460829881E-4
492,4.0,2.7048093642375405E-4
493,5.0,2.7314577323567745E-4
494,6.0,8.16772482895109E-4
495,7.0,0.001360399192554343
496,8.0,0.0019040259022137746
497,9.0,0.002447652611873206
498,0.0,0.0024449877750610852
499,1.0,0.001901361065401851
500,2.0,0.0013577343557424197
501,3.0,8.141076460829881E-4
502,4.0,2.7048093642375405E-4
503,5.0,2.7314577323567745E-4
504,6.0,8.16772482895109E-4
505,7.0,0.001360399192554343
506,8.0,0.0019040259022137746
507,9.0,0.002447652611873206
508,0.0,0.0024449877750610852
509,1.0,0.001901361065401851
510,2.0,0.0013577343557424197
511,3.0,8.141076460829881E-4
512,4.0,2.7048093642375405E-4
513,5.0,2.7314577323567745E-4
514,6.0,8.16772482895109E-4
515,7.0,0.001360399192554343
516,8.0,0.0019040259022137746
517,9.0,0.002447652611873206
518,0.0,0.0024449877750610852
519,1.0,0.001901361065401851
520,2.0,0.0013577343557424197
521,3.0,8.141076460829881E-4
522,4.0,2.7048093642375405E-4
523,5.0,2.7314577323567745E-4
524,6.0,8.16772482895109E-4
525,7.0,0.001360399192554343
526,8.0,0.0019040259022137746
527,9.0,0.002447652611873206
528,0.0,0.0024449877750610852
529,1.0,0.001901361065401851
530,2.0,0.0013577343557424197
531,3.0,8.141076460829881E-4
532,4.0,2.7048093642375405E-4
533,5.0,2.7314577323567745E-4
534,6.0,8.16772482895109E-4
535,7.0,0.001360399192554343
536,8.0,0.0019040259022137746
537,9.0,0.002447652611873206
538,0.0,0.0024449877750610852
539,1.0,0.001901361065401851
540,2.0,0.0013577343557424197
541,3.0,8.141076460829881E-4
542,4.0,2.7048093642375405E-4
543,5.0,2.7314577323567745E-4
544,6.0,8.16772482895109E-4
545,7.0,0.001360399192554343
546,8.0,0.0019040259022137746
547,9.0,0.002447652611873206
548,0.0,0.0024449877750610852
549,1.0,0.001901361065401851
550,2.0,0.0013577343557424197
551,3.0,8.141076460829881E-4
552,4.0,2.7048093642375405E-4
553,5.0,2.7314577323567745E-4
554,6.0,8.16772482895109E-4
555,7.0,0.001360399192554343
556,8.0,0.0019040259022137746
557,9.0,0.002447652611873206
558,0.0,0.0024449877750610852
559,1.0,0.001901361065401851
560,2.0,0.0013577343557424197
561,3.0,8.141076460829881E-4
562,4.0,2.7048093642375405E-4
563,5.0,2.7314577323567745E-4
564,6.0,8.16772482895109E-4
565,7.0,0.001360399192554343
566,8.0,0.0019040259022137746
567,9.0,0.002447652611873206
568,0.0,0.0024449877750610852
569,1.0,0.001901361065401851
570,2.0,0.0013577343557424197
571,3.0,8.141076460829881E-4
572,4.0,2.7048093642375405E-4
573,5.0,2.7314577323567745E-4
574,6.0,8.16772482895109E-4
575,7.0,0.001360399192554343
576,8.0,0.0019040259022137746
577,9.0,0.002447652611873206
578,0.0,0.0024449877750610852
579,1.0,0.001901361065401851
580,2.0,0.0013577343557424197
581,3.0,8.141076460829881E-4
582,4.0,2.7048093642375405E-4
583,5.0,2.7314577323567745E-4
584,6.0,8.16772482895109E-4
585,7.0,0.001360399192554343
586,8.0,0.0019040259022137746
587,9.0,0.002447652611873206
