event count, avg, time spent
1,299076.0, 0
2,256006.5, 0
3,309943.0, 0
4,448991.28571428574, 1
5,309872.0, 1
6,282969.25, 1
7,377251.5, 1
8,433273.0, 69
9,494222.6666666667, 179
10,526370.3, 291
11,518604.36363636365, 407
12,527482.4166666666, 519
13,504371.6923076923, 630
14,493147.35714285716, 742
15,496903.26666666666, 854
16,490054.4375, 968
17,498593.1176470588, 1083
18,475559.27777777775, 1200
19,493731.0, 1316
20,493649.9, 1434
21,501490.95238095237, 1551
22,518483.3181818182, 1669
23,501769.95652173914, 1787
24,509140.375, 1905
25,512500.08, 2022
26,494122.1923076923, 2161
27,508780.9259259259, 2263
28,508648.53571428574, 2381
29,504445.6896551724, 2498
30,520420.56666666665, 2610
31,515174.06451612903, 2726
32,507516.21875, 2841
33,517401.3939393939, 2958
34,514907.29411764705, 3076
35,513966.0571428572, 3194
36,520809.3333333333, 3313
37,509510.1621621622, 3430
38,510606.05263157893, 3548
39,503692.53846153844, 3664
40,515015.825, 3782
41,518433.43902439025, 3899
42,512221.0, 4017
43,520106.3953488372, 4135
44,522645.86363636365, 4252
45,519805.1111111111, 4369
46,529128.5869565217, 4486
47,519434.3617021277, 4598
48,516085.1666666667, 4709
49,511836.387755102, 4825
50,517596.96, 4942
51,523403.56862745096, 5064
52,530493.4807692308, 5175
53,535294.2264150943, 5287
54,535949.6296296297, 5394
55,542440.4181818182, 5504
56,549937.125, 5618
57,556511.8947368421, 5728
58,555021.9310344828, 5840
59,549670.3220338983, 5951
60,544378.9, 6061
61,541097.9016393443, 6171
62,540468.6290322581, 6283
63,538141.0634920635, 6394
64,530904.6875, 6506
65,532773.1230769231, 6618
66,526893.1666666666, 6729
67,527969.0746268657, 6843
68,530836.1617647059, 6951
69,526438.7391304348, 7061
70,526656.4714285714, 7173
71,529340.9014084507, 7282
72,523089.4861111111, 7393
73,520968.2876712329, 7501
74,523222.6621621622, 7609
75,525795.7333333333, 7721
76,525797.0131578947, 7835
77,522865.3116883117, 7952
78,519200.21794871794, 8070
79,512655.62025316455, 8185
80,516167.225, 8294
81,521654.3333333333, 8403
82,518080.8658536585, 8515
83,518821.6746987952, 8624
84,514200.8095238095, 8739
85,511737.4588235294, 8848
86,516897.1395348837, 8959
87,512421.3333333333, 9069
88,510182.8181818182, 9179
89,511626.4157303371, 9289
90,510431.72222222225, 9399
91,505648.9010989011, 9510
92,508555.8369565217, 9623
93,512589.5053763441, 9739
94,510716.2659574468, 9855
95,510000.63157894736, 9969
96,514074.8541666667, 10086
97,518311.1649484536, 10207
98,516942.1632653061, 10329
99,520516.51515151514, 10444
100,519626.41, 10561
101,524128.04950495047, 10675
102,521113.59803921566, 10793
103,519261.4563106796, 10902
104,521419.2403846154, 11013
105,519498.6095238095, 11124
106,520825.25471698114, 11235
107,522541.0, 11346
108,524283.76851851854, 11457
109,523151.40366972476, 11568
110,527166.8090909091, 11680
111,527515.9459459459, 11791
112,526692.5, 11903
113,530148.6371681415, 12014
114,531661.254385965, 12126
115,533097.3739130435, 12238
116,528797.9827586206, 12349
117,527612.1452991453, 12459
118,529119.1949152543, 12573
119,526226.1092436975, 12684
120,524037.51666666666, 12799
121,522631.8512396694, 12914
122,523384.6967213115, 13027
123,526628.2520325204, 13138
124,528763.4274193548, 13250
125,530356.232, 13358
126,529724.4682539683, 13469
127,527900.8976377953, 13580
128,525869.75, 13692
129,524012.5503875969, 13802
130,523409.3846153846, 13914
131,520578.01526717556, 14025
132,520177.67424242425, 14138
133,520458.954887218, 14249
134,521086.5746268657, 14360
135,518890.0740740741, 14472
136,518574.17647058825, 14582
137,515709.6131386861, 14691
138,514855.67391304346, 14802
139,515059.9856115108, 14913
140,514446.67142857146, 15025
141,517428.02127659577, 15137
142,514443.88028169016, 15250
143,515426.75524475524, 15361
144,512453.0138888889, 15470
145,515726.78620689653, 15580
146,518004.2123287671, 15692
147,519568.29931972787, 15803
148,520487.9662162162, 15912
149,518904.0939597315, 16022
150,520243.26, 16133
151,517196.26490066224, 16243
152,516294.11842105264, 16351
153,515772.75163398695, 16461
154,517497.4090909091, 16572
155,515474.2193548387, 16686
