Buildfile: /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/build.xml

init:

compile:
    [javac] /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/build.xml:87: warning: 'includeantruntime' was not set, defaulting to build.sysclasspath=last; set to false for repeatable builds
     [copy] Copying 1 file to /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/temp/classes

run:
     [echo] Configure optionally use -DelapsedCount=xxxx -Dprotocol='thrift/binary' -Dhost=xxxx -Dport=xxxx
     [echo]             -DcalcType='throughput/latency'
     [echo]         
     [java] Shutdown hook added.
     [java] PUNCTUATION SERVER started................
     [java] Unable to determine dialect of the StAX implementation at jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/axiom_1.2.11.wso2v11.jar!/
     [java] SLF4J: Class path contains multiple SLF4J bindings.
     [java] SLF4J: Found binding in [jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/slf4j.log4j12_1.7.13.jar!/org/slf4j/impl/StaticLoggerBinder.class]
     [java] SLF4J: Found binding in [jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/slf4j.log4j12_1.7.21.jar!/org/slf4j/impl/StaticLoggerBinder.class]
     [java] SLF4J: See http://www.slf4j.org/codes.html#multiple_bindings for an explanation.
     [java] Thrift Server started at localhost
     [java] Thrift SSL port : 7761
     [java] Thrift port : 7661
     [java] Test Server Started
     [java] user admin connected
     [java] Event: count : 214, maxHumidity : 998672, timeSpent : 202
     [java] Event: count : 213, maxHumidity : 998672, timeSpent : 202
     [java] Event: count : 212, maxHumidity : 998672, timeSpent : 202
     [java] Event: count : 221, maxHumidity : 998672, timeSpent : 202
     [java] Event: count : 211, maxHumidity : 998672, timeSpent : 202
     [java] Event: count : 210, maxHumidity : 998672, timeSpent : 203
     [java] Event: count : 209, maxHumidity : 998672, timeSpent : 203
     [java] Event: count : 208, maxHumidity : 998672, timeSpent : 213
     [java] Event: count : 207, maxHumidity : 998672, timeSpent : 213
     [java] Event: count : 206, maxHumidity : 998672, timeSpent : 213
     [java] Event: count : 205, maxHumidity : 998672, timeSpent : 216
     [java] Event: count : 204, maxHumidity : 998672, timeSpent : 216
     [java] Event: count : 203, maxHumidity : 998672, timeSpent : 216
     [java] Event: count : 202, maxHumidity : 998672, timeSpent : 216
     [java] Event: count : 201, maxHumidity : 998672, timeSpent : 216
     [java] Event: count : 200, maxHumidity : 998672, timeSpent : 216
     [java] Event: count : 191, maxHumidity : 998672, timeSpent : 216
     [java] Event: count : 196, maxHumidity : 998672, timeSpent : 217
     [java] Event: count : 195, maxHumidity : 998672, timeSpent : 217
     [java] Event: count : 194, maxHumidity : 998672, timeSpent : 217
     [java] Event: count : 193, maxHumidity : 998672, timeSpent : 218
     [java] Event: count : 192, maxHumidity : 998672, timeSpent : 219
     [java] Event: count : 322, maxHumidity : 999782, timeSpent : 219
     [java] Event: count : 190, maxHumidity : 998672, timeSpent : 219
     [java] Event: count : 189, maxHumidity : 998672, timeSpent : 221
     [java] Event: count : 188, maxHumidity : 998672, timeSpent : 221
     [java] Event: count : 187, maxHumidity : 998672, timeSpent : 226
     [java] Event: count : 186, maxHumidity : 998672, timeSpent : 226
     [java] Event: count : 185, maxHumidity : 998672, timeSpent : 233
     [java] Event: count : 184, maxHumidity : 998672, timeSpent : 233
     [java] Event: count : 183, maxHumidity : 998672, timeSpent : 233
     [java] Event: count : 182, maxHumidity : 998672, timeSpent : 234
     [java] Event: count : 181, maxHumidity : 998672, timeSpent : 234
     [java] Event: count : 180, maxHumidity : 998672, timeSpent : 234
     [java] Event: count : 179, maxHumidity : 998672, timeSpent : 234
     [java] Event: count : 363, maxHumidity : 999782, timeSpent : 234
     [java] Event: count : 178, maxHumidity : 998672, timeSpent : 235
     [java] Event: count : 177, maxHumidity : 998672, timeSpent : 235
     [java] Event: count : 176, maxHumidity : 998672, timeSpent : 235
     [java] Event: count : 175, maxHumidity : 998672, timeSpent : 235
     [java] Event: count : 366, maxHumidity : 999782, timeSpent : 235
     [java] Event: count : 369, maxHumidity : 999782, timeSpent : 236
