Expected distinct count
2828
4536
5307
6185
6147
6188
6202
6195
6237
6188
6202
6139
6202
6223
6265
6132
6230
6237
6195
6201
6244
6223
6265
6223
6251
6244
6237
6279
6272
6251
6251
6237
6286
6258
6251
6244
6244
6230
6293
6216
6174
6223
6153
6293
6258
6160
6125
6090
6167
6055
6188
6188
6216
6199
6204
6167
6104
6223
6132
6083
6055
6202
6272
6076
6111
6146
6160
6188
6167
6223
6230
6153
6139
6125
6230
6160
6146
6216
5992
6251
6181
6195
6237
6187
6174
6118
6153
6216
6174
6125
6216
6251
6069
6174
6174
6076
6090
6104
6146
6104
6090
6118
6153
6111
6097
6167
6125
6069
6118
6083
6258
6188
6160
6111
