events count, average value
174,5461.590909090909
175,5448.36
176,5473.112994350283
177,5481.365168539326
178,5462.067039106145
179,5458.816666666667
180,5388.858108108108
181,5447.718232044199
182,5447.0594594594595
183,5438.064171122995
184,5442.010638297872
185,5430.730158730159
186,5454.989010989011
187,5456.135416666667
188,5437.108695652174
189,5463.355191256831
190,5476.577319587629
191,5458.041450777202
192,5460.492146596858
193,5448.573684210526
194,5486.866666666667
195,5482.632653061224
196,5474.70202020202
197,5487.331658291458
198,5437.204301075269
199,5489.92
200,5477.66497461929
201,5511.306930693069
202,5511.325123152709
203,5505.475490196079
204,5487.673170731708
205,5501.810945273632
206,5491.131067961165
207,5510.864734299517
208,5524.961538461538
209,5543.4857142857145
210,5528.525821596244
211,5554.075471698113
212,5548.796208530805
213,5534.076555023923
214,5504.682242990654
215,5516.625
216,5502.2211981566825
217,5517.362385321101
218,5533.835616438356
219,5513.295454545455
220,5528.678733031674
221,5546.990990990991
222,5522.7085201793725
223,5519.107142857143
224,5529.942222222222
225,5511.057522123894
226,5495.577092511013
227,5513.561403508772
228,5520.323144104804
229,5509.06511627907
230,5510.670995670996
231,5489.788793103448
232,5505.051502145922
233,5520.551282051282
234,5534.455319148936
235,5552.919491525424
236,5557.405063291139
237,5562.9789915966385
238,5547.807531380753
239,5537.528925619835
240,5522.261410788382
241,5541.9125
242,5533.477366255144
243,5541.352459016393
244,5503.634782608696
245,5531.236734693877
246,5498.187250996016
247,5518.76
248,5518.70281124498
249,5539.931451612903
250,5549.304878048781
251,5496.478431372549
252,5467.074829931973
253,5484.377952755905
254,5497.9604743083
255,5484.019841269841
256,5443.87
257,5460.505016722408
258,5463.8691275167785
259,5455.737373737374
260,5478.464163822526
261,5465.226351351352
262,5472.128813559322
263,5470.619863013699
264,5473.103092783505
265,5481.006896551724
266,5483.411764705882
267,5508.454545454545
268,5498.395833333333
269,5493.630662020906
270,5527.740350877193
271,5517.12323943662
272,5531.826241134751
273,5523.106007067137
274,5526.067857142857
275,5442.609523809524
276,5533.274021352313
277,5492.12962962963
278,5448.389937106918
279,5521.784946236559
280,5516.535971223022
281,5510.187725631769
282,5497.503623188406
283,5495.716363636364
284,5480.481751824817
285,5484.377289377289
286,5481.529411764706
287,5472.774907749077
288,5498.275092936803
289,5561.093117408906
290,5513.19776119403
291,5496.98127340824
292,5486.590225563909
293,5504.588679245283
294,5493.681818181818
295,5508.030418250951
296,5494.874045801526
297,5510.509578544062
298,5497.638461538461
299,5492.949806949807
300,5488.143410852713
301,5479.3735408560315
302,5491.00390625
303,5445.45
304,5441.08722741433
305,5447.501567398119
306,5457.539432176656
307,5451.212025316456
308,5446.464968152866
309,5449.633540372671
310,5433.891373801917
311,5441.660256410257
312,5437.787781350482
313,5437.774193548387
314,5447.815533980583
315,5444.100649350649
316,5434.00325732899
317,5442.908496732026
318,5434.473684210527
319,5432.633663366337
320,5447.5
321,5446.390092879257
322,5436.85049833887
323,5456.037037037037
324,5441.92
325,5451.558282208589
326,5461.217125382263
327,5454.707317073171
328,5468.155015197568
329,5470.19696969697
330,5468.232628398791
331,5454.954819277108
332,5448.657657657658
333,5453.541916167665
334,5446.829850746269
335,5443.389880952381
336,5431.106824925816
337,5427.991124260355
338,5434.578171091445
339,5435.273529411765
340,5443.50439882698
341,5432.146198830409
342,5437.901639344263
343,5429.236994219653
344,5442.571014492753
345,5429.456395348837
346,5433.338192419825
347,5431.485632183908
348,5435.931232091691
349,5426.691428571428
350,5411.612535612536
351,5410.585227272727
352,5426.380403458214
353,5416.458923512748
354,5407.88418079096
355,5414.081690140845
356,5395.259052924791
357,5391.362880886427
358,5409.76404494382
359,5392.082191780822
360,5404.401639344263
361,5392.555858310627
362,5410.634146341464
363,5415.34054054054
364,5421.024258760108
365,5418.860589812332
366,5409.89037433155
367,5401.467391304348
368,5407.441340782123
369,5414.518134715026
370,5418.821705426357
371,5425.322164948454
372,5436.59383033419
373,5429.423076923077
374,5438.501278772378
375,5435.15306122449
376,5422.221374045802
377,5414.8810126582275
378,5420.073232323232
379,5456.043689320389
380,5462.932203389831
381,5473.618357487922
382,5470.412048192771
383,5472.438848920863
384,5400.733893557423
385,5474.628841607565
386,5475.327014218009
387,5471.285714285715
388,5465.828978622328
389,5468.160465116279
390,5463.278422273782
391,5455.458333333333
392,5462.960739030023
393,5466.254004576659
394,5468.666666666667
395,5479.99045346062
