Buildfile: /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/build.xml

init:

compile:
    [javac] /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/build.xml:87: warning: 'includeantruntime' was not set, defaulting to build.sysclasspath=last; set to false for repeatable builds
     [copy] Copying 1 file to /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/temp/classes

run:
     [echo] Configure optionally use -DelapsedCount=xxxx -Dprotocol='thrift/binary' -Dhost=xxxx -Dport=xxxx
     [echo]             -DcalcType='throughput/latency'
     [echo]         
     [java] Shutdown hook added.
     [java] PUNCTUATION SERVER started................
     [java] Unable to determine dialect of the StAX implementation at jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/axiom_1.2.11.wso2v11.jar!/
     [java] SLF4J: Class path contains multiple SLF4J bindings.
     [java] SLF4J: Found binding in [jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/slf4j.log4j12_1.7.13.jar!/org/slf4j/impl/StaticLoggerBinder.class]
     [java] SLF4J: Found binding in [jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/slf4j.log4j12_1.7.21.jar!/org/slf4j/impl/StaticLoggerBinder.class]
     [java] SLF4J: See http://www.slf4j.org/codes.html#multiple_bindings for an explanation.
     [java] Thrift Server started at localhost
     [java] Thrift SSL port : 7761
     [java] Thrift port : 7661
     [java] Test Server Started
     [java] user admin connected
     [java] Event: humidity : 66, avgHumidity : 5777.515151515152, timeSpent : 80
     [java] Event: humidity : 68, avgHumidity : 5806.558823529412, timeSpent : 81
     [java] Event: humidity : 73, avgHumidity : 5688.3835616438355, timeSpent : 82
     [java] Event: humidity : 76, avgHumidity : 5721.078947368421, timeSpent : 82
     [java] Event: humidity : 65, avgHumidity : 5726.015384615384, timeSpent : 83
     [java] Event: humidity : 64, avgHumidity : 5677.9375, timeSpent : 83
     [java] Event: humidity : 79, avgHumidity : 5845.164556962025, timeSpent : 83
     [java] Event: humidity : 78, avgHumidity : 5803.025641025641, timeSpent : 83
     [java] Event: humidity : 77, avgHumidity : 5764.25974025974, timeSpent : 84
     [java] Event: humidity : 75, avgHumidity : 5669.413333333333, timeSpent : 84
     [java] Event: humidity : 74, avgHumidity : 5638.5, timeSpent : 84
     [java] Event: humidity : 72, avgHumidity : 5749.861111111111, timeSpent : 84
     [java] Event: humidity : 83, avgHumidity : 5759.168674698795, timeSpent : 84
     [java] Event: humidity : 71, avgHumidity : 5764.422535211268, timeSpent : 85
     [java] Event: humidity : 70, avgHumidity : 5844.885714285714, timeSpent : 85
     [java] Event: humidity : 85, avgHumidity : 5827.7411764705885, timeSpent : 86
     [java] Event: humidity : 69, avgHumidity : 5790.550724637681, timeSpent : 86
     [java] Event: humidity : 86, avgHumidity : 5795.593023255814, timeSpent : 86
     [java] Event: humidity : 52, avgHumidity : 5507.9807692307695, timeSpent : 86
     [java] Event: humidity : 88, avgHumidity : 5815.181818181818, timeSpent : 87
