event count, Expected distinct count
771
854
854
854
863
867
811
871
891
878
899
902
882
912
912
912
904
911
902
906
909
906
909
911
914
907
900
909
909
911
904
910
910
911
909
909
915
916
915
916
912
916
916
916
911
921
916
918
921
917
918
921
917
918
918
917
921
912
914
910
922
915
917
916
906
919
913
914
915
918
913
917
918
914
916
916
913
913
920
917
919
905
918
917
919
917
917
914
912
913
918
903
913
916
914
904
915
917
909
904
918
919
917
918
919
911
914
906
912
912
