event count, actual distinct count
1,980
2,1254
3,2486
4,3183
5,2212
6,3310
7,4402
8,3037
9,4050
10,4510
11,4974
12,4544
13,4695
14,5207
15,4383
16,4536
17,4692
18,4581
19,4706
20,4427
21,4471
22,4340
23,4487
24,4499
25,4656
26,4540
27,4349
28,4410
29,4465
30,4567
31,4498
32,4350
33,4356
34,4413
35,4545
36,4454
37,4504
38,4494
39,4509
40,4349
41,4681
42,4606
43,4664
44,4350
45,4263
46,4418
47,4663
48,4536
49,4565
50,4523
51,4642
52,4538
53,4541
54,4515
55,4525
56,4457
57,4632
58,4428
59,4701
60,4542
61,4481
62,4466
63,4444
64,4030
65,4225
66,4147
67,4623
68,3767
69,4285
70,3937
71,4473
72,4575
73,4656
74,4791
75,4159
76,4021
77,4877
78,4945
79,4902
80,4525
81,4388
82,4732
83,4532
84,4482
85,4500
86,4550
87,4651
88,4495
89,4595
90,4494
91,4491
92,4470
93,4174
94,4277
95,4516
96,4458
97,4853
98,3811
99,4756
100,4503
101,4785
102,4324
103,4277
104,4652
105,4397
106,4490
107,4224
108,4245
109,4674
110,4506
111,4920
112,4084
113,3697
114,3530
115,3459
