Timestamp,Average latency (ms)
2017-08-18 19:36:00,1110
2017-08-18 19:36:10,108
2017-08-18 19:36:20,1107
2017-08-18 19:36:30,1107
2017-08-18 19:36:40,1108
2017-08-18 19:36:50,1107
2017-08-18 19:37:00,1108
2017-08-18 19:37:10,161
2017-08-18 19:37:20,161
2017-08-18 19:37:30,162
2017-08-18 19:37:40,162
2017-08-18 19:37:50,1163
2017-08-18 19:38:00,1109
2017-08-18 19:38:10,1109
2017-08-18 19:38:20,1109
2017-08-18 19:38:30,1110
2017-08-18 19:38:40,1110
2017-08-18 19:38:50,1112
2017-08-18 19:39:00,1112
2017-08-18 19:39:10,1136
2017-08-18 19:39:20,138
2017-08-18 19:39:30,1138
2017-08-18 19:39:40,1138
2017-08-18 19:39:50,138
2017-08-18 19:40:00,1138
2017-08-18 19:40:10,1147
2017-08-18 19:40:20,148
2017-08-18 19:40:30,1148
2017-08-18 19:40:40,1149
2017-08-18 19:40:50,150
2017-08-18 19:41:00,1150
2017-08-18 19:41:10,1158
2017-08-18 19:41:20,159
2017-08-18 19:41:30,159
2017-08-18 19:41:40,1159
2017-08-18 19:41:50,159
2017-08-18 19:42:00,1150
2017-08-18 19:42:10,1150
2017-08-18 19:42:20,1150
2017-08-18 19:42:30,150
2017-08-18 19:42:40,1150
2017-08-18 19:42:50,1151
2017-08-18 19:43:00,1144
2017-08-18 19:43:10,1144
2017-08-18 19:43:20,1145
2017-08-18 19:43:30,145
2017-08-18 19:43:40,1146
2017-08-18 19:43:50,1146
2017-08-18 19:44:00,1135
2017-08-18 19:44:10,1134
2017-08-18 19:44:20,1135
2017-08-18 19:44:30,1135
2017-08-18 19:44:40,1136
2017-08-18 19:44:50,1137
2017-08-18 19:45:00,1130
2017-08-18 19:45:10,1130
2017-08-18 19:45:20,1129
2017-08-18 19:45:30,1130
2017-08-18 19:45:40,1130
2017-08-18 19:45:50,1131
2017-08-18 19:46:00,1131
2017-08-18 19:46:20,217
2017-08-18 19:46:30,218
2017-08-18 19:46:40,217
2017-08-18 19:46:50,219
2017-08-18 19:47:00,1205
2017-08-18 19:47:10,1205
2017-08-18 19:47:20,206
2017-08-18 19:47:30,208
2017-08-18 19:47:40,1207
2017-08-18 19:47:50,209
2017-08-18 19:48:00,1191
2017-08-18 19:48:10,1191
2017-08-18 19:48:20,191
2017-08-18 19:48:30,191
2017-08-18 19:48:40,1193
2017-08-18 19:48:50,1194
2017-08-18 19:49:00,1173
2017-08-18 19:49:10,1173
2017-08-18 19:49:20,1174
2017-08-18 19:49:30,174
2017-08-18 19:49:40,1174
2017-08-18 19:49:50,1174
2017-08-18 19:50:00,1174
2017-08-18 19:50:10,250
2017-08-18 19:50:20,251
2017-08-18 19:50:30,251
2017-08-18 19:50:40,252
2017-08-18 19:50:50,252
2017-08-18 19:51:00,1237
2017-08-18 19:51:10,237
2017-08-18 19:51:20,237
2017-08-18 19:51:30,237
2017-08-18 19:51:40,1238
2017-08-18 19:51:50,239
2017-08-18 19:52:00,1224
2017-08-18 19:52:10,1223
2017-08-18 19:52:20,224
2017-08-18 19:52:30,224
2017-08-18 19:52:40,1224
2017-08-18 19:52:50,1225
2017-08-18 19:53:00,1201
2017-08-18 19:53:10,1201
2017-08-18 19:53:20,1201
2017-08-18 19:53:30,202
2017-08-18 19:53:40,1203
2017-08-18 19:53:50,1203
2017-08-18 19:54:00,1185
