Buildfile: /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/build.xml

init:

compile:
    [javac] /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/build.xml:87: warning: 'includeantruntime' was not set, defaulting to build.sysclasspath=last; set to false for repeatable builds
     [copy] Copying 1 file to /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/temp/classes

run:
     [echo] Configure optionally use -DelapsedCount=xxxx -Dprotocol='thrift/binary' -Dhost=xxxx -Dport=xxxx
     [echo]             -DcalcType='throughput/latency'
     [echo]         
     [java] Shutdown hook added.
     [java] PUNCTUATION SERVER started................
     [java] Unable to determine dialect of the StAX implementation at jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/axiom_1.2.11.wso2v11.jar!/
     [java] SLF4J: Class path contains multiple SLF4J bindings.
     [java] SLF4J: Found binding in [jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/slf4j.log4j12_1.7.13.jar!/org/slf4j/impl/StaticLoggerBinder.class]
     [java] SLF4J: Found binding in [jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/slf4j.log4j12_1.7.21.jar!/org/slf4j/impl/StaticLoggerBinder.class]
     [java] SLF4J: See http://www.slf4j.org/codes.html#multiple_bindings for an explanation.
     [java] Thrift Server started at localhost
     [java] Thrift SSL port : 7761
     [java] Thrift port : 7661
     [java] Test Server Started
     [java] user admin connected
     [java] Event: count : 1, avgHumidity : 9430.0, timeSpent : 0
     [java] Event: count : 2, avgHumidity : 8198.5, timeSpent : 0
     [java] Event: count : 4, avgHumidity : 8350.75, timeSpent : 8
     [java] Event: count : 3, avgHumidity : 8010.0, timeSpent : 8
     [java] Event: count : 5, avgHumidity : 7530.4, timeSpent : 9
     [java] Event: count : 6, avgHumidity : 6366.333333333333, timeSpent : 9
     [java] Event: count : 7, avgHumidity : 6843.428571428572, timeSpent : 10
     [java] Event: count : 8, avgHumidity : 6276.25, timeSpent : 12
     [java] Event: count : 9, avgHumidity : 6353.333333333333, timeSpent : 12
     [java] Event: count : 10, avgHumidity : 6322.8, timeSpent : 12
     [java] Event: count : 11, avgHumidity : 6598.272727272727, timeSpent : 13
     [java] Event: count : 12, avgHumidity : 6557.0, timeSpent : 13
     [java] Event: count : 13, avgHumidity : 6296.307692307692, timeSpent : 14
     [java] Event: count : 14, avgHumidity : 6000.0, timeSpent : 14
     [java] Event: count : 15, avgHumidity : 6200.733333333334, timeSpent : 14
     [java] Event: count : 16, avgHumidity : 5870.125, timeSpent : 15
     [java] Event: count : 17, avgHumidity : 6060.176470588235, timeSpent : 16
     [java] Event: count : 18, avgHumidity : 6143.666666666667, timeSpent : 16
     [java] Event: count : 19, avgHumidity : 6061.315789473684, timeSpent : 42
     [java] Event: count : 20, avgHumidity : 6085.35, timeSpent : 47
     [java] Event: count : 21, avgHumidity : 6059.380952380952, timeSpent : 47
     [java] Event: count : 22, avgHumidity : 6077.954545454545, timeSpent : 48
     [java] Event: count : 23, avgHumidity : 6209.521739130435, timeSpent : 48
     [java] Event: count : 24, avgHumidity : 6315.208333333333, timeSpent : 48
     [java] Event: count : 25, avgHumidity : 6439.76, timeSpent : 49
     [java] Event: count : 26, avgHumidity : 6551.038461538462, timeSpent : 49
     [java] Event: count : 27, avgHumidity : 6504.2962962962965, timeSpent : 50
     [java] Event: count : 37, avgHumidity : 5569.7027027027025, timeSpent : 53
     [java] Event: count : 42, avgHumidity : 5337.738095238095, timeSpent : 53
     [java] Event: count : 45, avgHumidity : 5218.822222222222, timeSpent : 53
     [java] Event: count : 47, avgHumidity : 5071.63829787234, timeSpent : 53
     [java] Event: count : 36, avgHumidity : 5677.833333333333, timeSpent : 53
     [java] Event: count : 35, avgHumidity : 5765.771428571428, timeSpent : 53
     [java] Event: count : 34, avgHumidity : 5911.882352941177, timeSpent : 54
     [java] Event: count : 32, avgHumidity : 5967.0, timeSpent : 54
     [java] Event: count : 33, avgHumidity : 6020.969696969697, timeSpent : 54
     [java] Event: count : 54, avgHumidity : 5397.5, timeSpent : 54
     [java] Event: count : 31, avgHumidity : 6129.064516129032, timeSpent : 54
     [java] Event: count : 57, avgHumidity : 5409.9473684210525, timeSpent : 55
     [java] Event: count : 30, avgHumidity : 6116.866666666667, timeSpent : 55
     [java] Event: count : 29, avgHumidity : 6291.551724137931, timeSpent : 55
     [java] Event: count : 28, avgHumidity : 6347.321428571428, timeSpent : 55
     [java] Event: count : 56, avgHumidity : 5500.910714285715, timeSpent : 55
     [java] Event: count : 55, avgHumidity : 5468.709090909091, timeSpent : 55
     [java] Event: count : 53, avgHumidity : 5367.528301886792, timeSpent : 55
     [java] Event: count : 52, avgHumidity : 5305.25, timeSpent : 56
     [java] Event: count : 51, avgHumidity : 5238.098039215686, timeSpent : 56
     [java] Event: count : 50, avgHumidity : 5185.5, timeSpent : 56
     [java] Event: count : 49, avgHumidity : 5091.693877551021, timeSpent : 56
     [java] Event: count : 61, avgHumidity : 5366.262295081967, timeSpent : 56
     [java] Event: count : 48, avgHumidity : 5154.875, timeSpent : 57
     [java] Event: count : 46, avgHumidity : 5168.108695652174, timeSpent : 60
     [java] Event: count : 44, avgHumidity : 5295.704545454545, timeSpent : 60
     [java] Event: count : 43, avgHumidity : 5261.395348837209, timeSpent : 60
     [java] Event: count : 41, avgHumidity : 5322.658536585366, timeSpent : 62
     [java] Event: count : 40, avgHumidity : 5451.975, timeSpent : 62
     [java] Event: count : 39, avgHumidity : 5461.4358974358975, timeSpent : 66
     [java] Event: count : 38, avgHumidity : 5441.289473684211, timeSpent : 67
     [java] Event: count : 67, avgHumidity : 5356.313432835821, timeSpent : 67
     [java] Event: count : 66, avgHumidity : 5435.757575757576, timeSpent : 67
     [java] Event: count : 65, avgHumidity : 5399.630769230769, timeSpent : 67
     [java] Event: count : 68, avgHumidity : 5387.35294117647, timeSpent : 67
     [java] Event: count : 71, avgHumidity : 5550.43661971831, timeSpent : 68
     [java] Event: count : 72, avgHumidity : 5561.25, timeSpent : 68
     [java] Event: count : 73, avgHumidity : 5590.835616438356, timeSpent : 68
     [java] Event: count : 74, avgHumidity : 5599.6621621621625, timeSpent : 70
     [java] Event: count : 75, avgHumidity : 5658.053333333333, timeSpent : 70
     [java] Event: count : 76, avgHumidity : 5606.723684210527, timeSpent : 71
     [java] Event: count : 77, avgHumidity : 5659.571428571428, timeSpent : 71
     [java] Event: count : 78, avgHumidity : 5589.25641025641, timeSpent : 71
     [java] Event: count : 79, avgHumidity : 5606.53164556962, timeSpent : 71
     [java] Event: count : 80, avgHumidity : 5591.7375, timeSpent : 72
     [java] Event: count : 81, avgHumidity : 5616.728395061728, timeSpent : 72
     [java] Event: count : 82, avgHumidity : 5591.951219512195, timeSpent : 72
     [java] Event: count : 83, avgHumidity : 5540.313253012048, timeSpent : 72
     [java] Event: count : 84, avgHumidity : 5500.011904761905, timeSpent : 72
     [java] Event: count : 85, avgHumidity : 5475.458823529411, timeSpent : 72
     [java] Event: count : 86, avgHumidity : 5522.0, timeSpent : 73
     [java] Event: count : 89, avgHumidity : 5416.955056179775, timeSpent : 73
     [java] Event: count : 90, avgHumidity : 5457.366666666667, timeSpent : 73
     [java] Event: count : 91, avgHumidity : 5442.989010989011, timeSpent : 73
     [java] Event: count : 92, avgHumidity : 5490.434782608696, timeSpent : 74
     [java] Event: count : 64, avgHumidity : 5409.71875, timeSpent : 74
     [java] Event: count : 63, avgHumidity : 5406.730158730159, timeSpent : 74
     [java] Event: count : 62, avgHumidity : 5423.467741935484, timeSpent : 74
     [java] Event: count : 60, avgHumidity : 5321.616666666667, timeSpent : 74
     [java] Event: count : 59, avgHumidity : 5340.576271186441, timeSpent : 78
     [java] Event: count : 58, avgHumidity : 5367.672413793103, timeSpent : 81
     [java] Event: count : 102, avgHumidity : 5610.794117647059, timeSpent : 90
     [java] Event: count : 101, avgHumidity : 5602.811881188119, timeSpent : 90
     [java] Event: count : 100, avgHumidity : 5580.04, timeSpent : 90
     [java] Event: count : 106, avgHumidity : 5629.8490566037735, timeSpent : 91
     [java] Event: count : 104, avgHumidity : 5665.7692307692305, timeSpent : 92
     [java] Event: count : 99, avgHumidity : 5577.575757575758, timeSpent : 92
     [java] Event: count : 98, avgHumidity : 5555.663265306122, timeSpent : 93
     [java] Event: count : 97, avgHumidity : 5565.268041237114, timeSpent : 93
     [java] Event: count : 96, avgHumidity : 5588.760416666667, timeSpent : 93
     [java] Event: count : 95, avgHumidity : 5554.736842105263, timeSpent : 93
     [java] Event: count : 94, avgHumidity : 5548.085106382979, timeSpent : 94
     [java] Event: count : 93, avgHumidity : 5527.774193548387, timeSpent : 98
     [java] Event: count : 88, avgHumidity : 5469.056818181818, timeSpent : 99
     [java] Event: count : 87, avgHumidity : 5486.126436781609, timeSpent : 99
     [java] Event: count : 70, avgHumidity : 5489.314285714286, timeSpent : 99
     [java] Event: count : 69, avgHumidity : 5434.942028985507, timeSpent : 99
