events count, average value,lower bound - 0.3, upper bound - 0.3, timeSpent
121,5592.6728972,3914.87102804,7270.47476636,102
122,5681.12380952,3976.78666667,7385.46095238,102
123,5630.88349515,3941.6184466,7320.14854369,103
124,5600.51612903,3920.36129032,7280.67096774,106
125,5605.584,3923.9088,7287.2592,106
126,5569.64285714,3898.75,7240.53571429,106
127,5603.22047244,3922.25433071,7284.18661417,107
128,5598.28125,3918.796875,7277.765625,107
129,5627.95384615,3939.56769231,7316.34,110
130,5608.31782946,3925.82248062,7290.81317829,110
131,5606.41221374,3924.48854962,7288.33587786,111
132,5594.78030303,3916.34621212,7273.21439394,112
133,5570.90225564,3899.63157895,7242.17293233,112
134,5592.3358209,3914.63507463,7270.03656716,112
135,5600.34074074,3920.23851852,7280.44296296,112
136,5582.30882353,3907.61617647,7257.00147059,113
137,5560.91428571,3892.64,7229.18857143,113
138,5547.4676259,3883.22733813,7211.70791367,113
139,5562.3115942,3893.61811594,7231.00507246,113
140,5546.19708029,3882.3379562,7210.05620438,113
141,5512.25174825,3858.57622378,7165.92727273,114
142,5538.85211268,3877.19647887,7200.50774648,114
143,5552.76595745,3886.93617021,7218.59574468,114
144,5516.68493151,3861.67945205,7171.69041096,114
145,5486.02758621,3840.21931034,7131.83586207,114
146,5479.35416667,3835.54791667,7123.16041667,114
147,5468.23489933,3827.76442953,7108.70536913,114
148,5502.21621622,3851.55135135,7152.88108108,114
149,5522.2244898,3865.55714286,7178.89183673,114
150,5484.01333333,3838.80933333,7129.21733333,116
151,5510.32450331,3857.22715232,7163.4218543,116
152,5510.01315789,3857.00921053,7163.01710526,116
153,5501.03921569,3850.72745098,7151.35098039,116
154,5506.20779221,3854.34545455,7158.07012987,116
155,5482.33548387,3837.63483871,7127.03612903,118
156,5510.80128205,3857.56089744,7164.04166667,118
157,5576.28571429,3903.4,7249.17142857,120
158,5577.80239521,3904.46167665,7251.14311377,120
159,5562.31927711,3893.62349398,7231.01506024,121
160,5538.96363636,3877.27454545,7200.65272727,121
161,5576.67052023,3903.66936416,7249.6716763,121
162,5539.63414634,3877.74390244,7201.52439024,121
163,5514.76687117,3860.33680982,7169.19693252,121
164,5565.15168539,3895.60617978,7234.69719101,122
165,5497.70987654,3848.39691358,7147.02283951,122
166,5493.29813665,3845.30869565,7141.28757764,122
167,5500.15625,3850.109375,7150.203125,122
168,5524.16981132,3866.91886792,7181.42075472,122
169,5502.96202532,3852.07341772,7153.85063291,123
170,5491.22292994,3843.85605096,7138.58980892,123
171,5556.94086022,3889.85860215,7224.02311828,123
172,5556.73513514,3889.71459459,7223.75567568,124
173,5555.30978261,3888.71684783,7221.90271739,124
174,5572.80327869,3900.96229508,7244.6442623,124
175,5593.19230769,3915.23461538,7271.15,124
176,5570.65745856,3899.46022099,7241.85469613,124
177,5564.22777778,3894.95944444,7233.49611111,124
178,5573.86592179,3901.70614525,7246.02569832,124
179,5546.96045198,3882.87231638,7211.04858757,124
180,5552.51704545,3886.76193182,7218.27215909,125
181,5573.13714286,3901.196,7245.07828571,125
182,5586.21264368,3910.34885057,7262.07643678,125
183,5594.16860465,3915.91802326,7272.41918605,125
184,5598.76023392,3919.13216374,7278.38830409,127
185,5581.92352941,3907.34647059,7256.50058824,127
186,5585.23668639,3909.66568047,7260.80769231,128
187,5460.93532338,3822.65472637,7099.2159204,132
188,5480.75,3836.525,7124.975,132
189,5485.54271357,3839.8798995,7131.20552764,132
190,5513.18686869,3859.23080808,7167.14292929,132
191,5535.24365482,3874.67055838,7195.81675127,133
192,5529.19387755,3870.43571429,7187.95204082,133
193,5558.7253886,3891.10777202,7226.34300518,133
194,5537.93846154,3876.55692308,7199.32,133
195,5547.8556701,3883.49896907,7212.21237113,133
196,5562.27604167,3893.59322917,7230.95885417,133
197,5580.78534031,3906.54973822,7255.02094241,134
198,5570.67894737,3899.47526316,7241.88263158,134
199,5584.26455026,3908.98518519,7259.54391534,134
200,5577.04255319,3903.92978723,7250.15531915,134
201,5565.27807487,3895.69465241,7234.86149733,134
202,5469.00492611,3828.30344828,7109.70640394,134
203,5455.13366337,3818.59356436,7091.67376238,134
204,5471.41176471,3829.98823529,7112.83529412,135
205,5491.24390244,3843.87073171,7138.61707317,137
206,5487.82038835,3841.47427184,7134.16650485,138
207,5490.24637681,3843.17246377,7137.32028986,139
208,5524.46261682,3867.12383178,7181.80140187,140
209,5507.95774648,3855.57042254,7160.34507042,140
210,5522.89622642,3866.02735849,7179.76509434,141
211,5526.20853081,3868.34597156,7184.07109005,141
212,5514.24761905,3859.97333333,7168.52190476,141
213,5525.10526316,3867.57368421,7182.63684211,142
214,5509.38942308,3856.57259615,7162.20625,143
215,5434.38738739,3804.07117117,7064.7036036,143
216,5440.6199095,3808.43393665,7072.80588235,144
217,5456.35,3819.445,7093.255,147
218,5477.07762557,3833.9543379,7120.20091324,147
219,5497.26605505,3848.08623853,7146.44587156,147
220,5491.47004608,3844.02903226,7138.91105991,148
221,5500.0462963,3850.03240741,7150.06018519,148
222,5520.19534884,3864.13674419,7176.25395349,151
223,5374.46551724,3762.12586207,6986.80517241,154
224,5374.03463203,3761.82424242,6986.24502165,156
225,5370.44347826,3759.31043478,6981.57652174,158
226,5387.069869,3770.9489083,7003.19082969,159
227,5341.1969112,3738.83783784,6943.55598456,161
228,5401.17982456,3780.82587719,7021.53377193,161
229,5413.62555066,3789.53788546,7037.71321586,163
230,5411.04424779,3787.73097345,7034.35752212,163
231,5403.29333333,3782.30533333,7024.28133333,163
232,5407.21428571,3785.05,7029.37857143,163
233,5415.58295964,3790.90807175,7040.25784753,164
234,5276.56439394,3693.59507576,6859.53371212,164
235,5295.00380228,3706.5026616,6883.50494297,164
236,5305.09160305,3713.56412214,6896.61908397,164
237,5322.4559387,3725.71915709,6919.19272031,164
238,5340.84615385,3738.59230769,6943.1,164
239,5348.0,3743.6,6952.4,164
240,5353.12840467,3747.18988327,6959.06692607,165
241,5346.76171875,3742.73320312,6950.79023438,165
242,5359.09411765,3751.36588235,6966.82235294,165
243,5379.66535433,3765.76574803,6993.56496063,165
244,5380.96837945,3766.67786561,6995.25889328,165
245,5366.42063492,3756.49444444,6976.3468254,165
246,5375.24302789,3762.67011952,6987.81593625,165
247,5372.76,3760.932,6984.588,166
248,5360.98393574,3752.68875502,6969.27911647,167
249,5359.27419355,3751.49193548,6967.05645161,167
250,5375.1417004,3762.59919028,6987.68421053,167
