Events Sent, Average throughput (events/second)
1462546, 996.7549738606513
1462647, 996.754514247115
1462747, 996.7547361231983
1462847, 996.7549579689469
1462948, 996.7544984510728
1463048, 996.7547202825882
1463148, 996.754942083781
1463249, 996.7544826615292
1463349, 996.7547044484945
1463449, 996.7549262051496
1463549, 996.7551479315008
1463650, 996.7546886209134
1463750, 996.7549103330487
1463850, 996.7551320148922
1463951, 996.7546727998409
1464051, 996.7548944674742
1464151, 996.7551161048281
1464252, 996.754656985273
1464352, 996.754878608422
1464452, 996.755100201304
1464553, 996.7546411772056
1464653, 996.7548627558882
1464753, 996.7550843043161
1464854, 996.7546253756348
1464954, 996.7548469098688
1465054, 996.7550684138605
1465155, 996.7546095805562
1465255, 996.7548310703597
1465355, 996.755052529933
1465455, 996.7552739592824
1465556, 996.754815237357
1465656, 996.7550366525296
1465756, 996.7552580374905
1465857, 996.7547994108565
1465957, 996.7550207816463
1466057, 996.7552421222367
1466158, 996.7547835908545
1466258, 996.7550049172792
1466358, 996.7552262135167
1466459, 996.7547677773466
1466559, 996.7549890594241
1466659, 996.7552103113267
1466760, 996.7547519703292
1466860, 996.7549732080771
1466960, 996.7551944156623
1467061, 996.7547361697981
1467161, 996.7549573632342
1467261, 996.7551785265199
1467361, 996.7553996596611
1467462, 996.7549415248913
1467562, 996.7551626438951
1467662, 996.7553837327669
1467763, 996.7549256930445
1467863, 996.7551467677843
1467963, 996.7553678124041
1468064, 996.7549098676897
1468164, 996.755130898183
1468264, 996.7553518985686
1468365, 996.754894048823
1468465, 996.7551150350877
1468565, 996.7553359912567
1468665, 996.7555569173365
1468766, 996.755099178494
1468866, 996.7553200904644
1468966, 996.7555409723574
1469067, 996.7550833283982
1469167, 996.7553041961874
1469267, 996.7555250339116
1469368, 996.7550674847961
1469468, 996.7552883084219
1469568, 996.7555091019947
1469669, 996.755051647684
1469769, 996.7552724271637
1469869, 996.7554931766028
1469970, 996.7550358170574
1470070, 996.755256552409
1470170, 996.7554772577321
1470271, 996.7550199929128
1470371, 996.7552406841539
1470471, 996.7554613453784
1470571, 996.7556819765928
1470672, 996.7552248223941
1470772, 996.7554454395379
1470872, 996.7556660266836
1470973, 996.7552089671259
1471073, 996.7554295402064
1471173, 996.7556500833009
1471273, 996.7558705964154
1471374, 996.75541364738
1471474, 996.7556341464409
1471574, 996.7558546155341
1471675, 996.7553977610546
1471775, 996.7556182160996
1471875, 996.755838641189
1471976, 996.7553818812264
1472076, 996.755602292273
1472176, 996.7558226733761
1472276, 996.7560430245416
1472377, 996.755586374957
1472477, 996.7558067120913
1472577, 996.7560270193002
1472678, 996.7555704641477
1472778, 996.7557907573307
1472878, 996.7560110206006
1472979, 996.755554559841
1473079, 996.7557748090904
1473179, 996.7559950284385
1473279, 996.7562152178915
1473380, 996.7557588673662
1473480, 996.7559790428102
1473580, 996.7561991883712
1473681, 996.7557429321542
1473781, 996.7559630637116
1473881, 996.756183165398
1473981, 996.7564032372195
1474082, 996.7559470911388
1474182, 996.7561671489681
1474282, 996.7563871769445
1474383, 996.7559311250875
1474483, 996.7561511390772
1474583, 996.756371123226
1474683, 996.75659107754
1474784, 996.7561351357216
1474884, 996.7563550760602
1474984, 996.7565749865761
1475085, 996.756119138897
1475185, 996.756339035443
1475285, 996.7565589021782
1475386, 996.7561031485998
1475486, 996.7563230013704
1475586, 996.7565428243423
1475686, 996.7567626175216
1475787, 996.7563069738384
1475887, 996.7565267530645
1475987, 996.7567465025099
1476088, 996.756290952843
1476188, 996.7565106883404
1476288, 996.7567303940695
1476389, 996.75627493838
1476489, 996.7564946301666
1476589, 996.7567142921964
1476689, 996.7569339244757
1476790, 996.7564785785386
1476890, 996.7566981968868
1476990, 996.7569177854962
1477091, 996.7564625334526
1477191, 996.7566821081363
1477291, 996.7569016530933
1477391, 996.7571211683298
1477492, 996.7566660259413
1477592, 996.7568855272633
1477692, 996.7571049988766
1477792, 996.7573244407873
1477893, 996.7568694080018
1477993, 996.7570888360093
1478093, 996.7573082343263
1478194, 996.756853295305
1478294, 996.757072679724
1478394, 996.7572920344644
1478495, 996.7568371891688
1478595, 996.7570565300167
1478695, 996.7572758411977
1478795, 996.7574951227182
1478896, 996.7570403868832
1478996, 996.7572596545224
1479096, 996.7574788925127
1479197, 996.7570242503197
1479297, 996.7572434744342
1479397, 996.7574626689118
1479498, 996.7570081203219
1479598, 996.7572273009291
1479698, 996.7574464519112
1479798, 996.7576655732742
1479899, 996.7572111340031
1479999, 996.7574302415069
1480099, 996.7576493194035
1480200, 996.7571949736522
1480300, 996.7574140376951
1480400, 996.7576330721428
1480500, 996.757852077001
1480601, 996.7573978404715
1480701, 996.7576168314872
1480801, 996.7578357929256
1480902, 996.7573816498323
1481002, 996.7576005974333
1481102, 996.7578195154689
1481202, 996.758038403945
1481303, 996.7575843699769
1481403, 996.757803244627
1481503, 996.7580220897291
1481603, 996.7582409052898
1481704, 996.7577869803955
1481804, 996.7580057821413
1481904, 996.7582245543572
1482005, 996.7577707227708
1482105, 996.7579894811771
1482205, 996.7582082100654
1482305, 996.7584269094417
1482406, 996.7579731868328
1482506, 996.7581918724106
1482606, 996.7584105284883
1482707, 996.7579568991042
1482807, 996.7581755413887
1482907, 996.758394154185
1483007, 996.7586127374989
1483108, 996.7581592169956
1483208, 996.7583777865275
1483308, 996.7585963265889
1483409, 996.7581428992273
1483509, 996.7583614255121
1483609, 996.7585799223381
1483709, 996.7587983897112
1483810, 996.7583450711345
1483910, 996.758563524742
1484010, 996.7587819489087
1484111, 996.7583287233906
1484211, 996.7585471337969
1484311, 996.7587655147742
1484411, 996.7589838663281
1484512, 996.7585307494988
1484612, 996.7587490873036
1484712, 996.7589673956969
1484813, 996.7585143718435
1484913, 996.758732666493
1485013, 996.7589509317427
1485113, 996.7591691675987
1485214, 996.758716252338
1485314, 996.7589344744613
1485414, 996.7591526672024
1485515, 996.758699844835
1485615, 996.7589180238488
1485715, 996.7591361734923
1485815, 996.7593542937714
1485916, 996.7589015799009
1486016, 996.7591196864637
1486116, 996.7593377636739
1486217, 996.7588851426138
1486317, 996.7591032061129
1486417, 996.7593212402711
1486517, 996.7595392450944
1486618, 996.7590867324357
1486718, 996.7593047235589
1486818, 996.7595226853589
1486919, 996.7590702654281
1487019, 996.7592882135332
1487119, 996.759506132327
1487219, 996.7597240218153
1487320, 996.7592717101902
1487420, 996.7594895859946
1487520, 996.7597074325051
1487621, 996.7592552135255
1487721, 996.7594730463575
1487821, 996.7596908499073
1487921, 996.759908624181
1488022, 996.7594565134118
1488122, 996.7596742740179
1488222, 996.7598920053595
1488323, 996.7594399871533
1488423, 996.7596577048325
1488523, 996.759875393259
1488623, 996.7600930524384
1488724, 996.7596411423474
1488824, 996.7598587878755
1488924, 996.7600764041684
1489024, 996.760293991232
1489125, 996.7598421892051
1489225, 996.7600597626282
1489325, 996.7602773068336
1489425, 996.7604948218273
1489526, 996.7600431278139
1489626, 996.7602606291781
1489726, 996.7604781013422
1489827, 996.7600264997211
