./jmeter.sh -n -t /home/wso2/Downloads/AbnormalResponseTimeTest.jmx -l abnormal_response_time_new_accuracy_0.1.jtl -Jhost=10.0.0.1 -Jprotocol=http -Jusers=1 -Jpath=endpoints/testResponseReceiverHTTP
Creating summariser <summary>
Created the tree successfully using /home/wso2/Downloads/AbnormalResponseTimeTest.jmx
Starting the test @ Tue Aug 15 16:34:02 IST 2017 (1502795042913)
Waiting for possible Shutdown/StopTestNow/Heapdump message on port 4445
summary =  58665 in 00:11:27 =   85.4/s Avg:     1 Min:     0 Max:   120 Err:     0 (0.00%)
summary +   2576 in 00:00:30 =   85.9/s Avg:     1 Min:     0 Max:    89 Err:     0 (0.00%) Active: 1 Started: 1 Finished: 0
summary =  61241 in 00:11:57 =   85.4/s Avg:     1 Min:     0 Max:   120 Err:     0 (0.00%)
summary +   2505 in 00:00:30 =   83.5/s Avg:     1 Min:     0 Max:   798 Err:     0 (0.00%) Active: 1 Started: 1 Finished: 0
summary =  63746 in 00:12:27 =   85.4/s Avg:     1 Min:     0 Max:   798 Err:     0 (0.00%)
summary +   2574 in 00:00:30 =   85.8/s Avg:     1 Min:     0 Max:   135 Err:     0 (0.00%) Active: 1 Started: 1 Finished: 0
summary =  66320 in 00:12:57 =   85.4/s Avg:     1 Min:     0 Max:   798 Err:     0 (0.00%)
summary +   2596 in 00:00:30 =   86.5/s Avg:     1 Min:     0 Max:    13 Err:     0 (0.00%) Active: 1 Started: 1 Finished: 0
summary =  68916 in 00:13:27 =   85.4/s Avg:     1 Min:     0 Max:   798 Err:     0 (0.00%)
summary +   2592 in 00:00:30 =   86.4/s Avg:     1 Min:     1 Max:    13 Err:     0 (0.00%) Active: 1 Started: 1 Finished: 0
summary =  71508 in 00:13:57 =   85.5/s Avg:     1 Min:     0 Max:   798 Err:     0 (0.00%)
summary +   2580 in 00:00:30 =   86.0/s Avg:     1 Min:     0 Max:    16 Err:     0 (0.00%) Active: 1 Started: 1 Finished: 0
summary =  74088 in 00:14:27 =   85.5/s Avg:     1 Min:     0 Max:   798 Err:     0 (0.00%)
summary +   2593 in 00:00:30 =   86.4/s Avg:     1 Min:     1 Max:    15 Err:     0 (0.00%) Active: 1 Started: 1 Finished: 0
summary =  76681 in 00:14:57 =   85.5/s Avg:     1 Min:     0 Max:   798 Err:     0 (0.00%)
summary +   2584 in 00:00:30 =   86.1/s Avg:     1 Min:     1 Max:    99 Err:     0 (0.00%) Active: 1 Started: 1 Finished: 0
summary =  79265 in 00:15:27 =   85.5/s Avg:     1 Min:     0 Max:   798 Err:     0 (0.00%)
summary +   2596 in 00:00:30 =   86.5/s Avg:     1 Min:     1 Max:    15 Err:     0 (0.00%) Active: 1 Started: 1 Finished: 0
summary =  81861 in 00:15:57 =   85.6/s Avg:     1 Min:     0 Max:   798 Err:     0 (0.00%)
summary +   2582 in 00:00:30 =   86.1/s Avg:     1 Min:     0 Max:    13 Err:     0 (0.00%) Active: 1 Started: 1 Finished: 0
summary =  84443 in 00:16:27 =   85.6/s Avg:     1 Min:     0 Max:   798 Err:     0 (0.00%)
summary +   2590 in 00:00:30 =   86.3/s Avg:     1 Min:     0 Max:    13 Err:     0 (0.00%) Active: 1 Started: 1 Finished: 0
summary =  87033 in 00:16:57 =   85.6/s Avg:     1 Min:     0 Max:   798 Err:     0 (0.00%)
summary +   2589 in 00:00:30 =   86.3/s Avg:     1 Min:     0 Max:   122 Err:     0 (0.00%) Active: 1 Started: 1 Finished: 0
summary =  89622 in 00:17:27 =   85.6/s Avg:     1 Min:     0 Max:   798 Err:     0 (0.00%)
summary +   2599 in 00:00:30 =   86.6/s Avg:     1 Min:     0 Max:    15 Err:     0 (0.00%) Active: 1 Started: 1 Finished: 0
summary =  92221 in 00:17:57 =   85.6/s Avg:     1 Min:     0 Max:   798 Err:     0 (0.00%)
summary +   2578 in 00:00:30 =   85.9/s Avg:     1 Min:     0 Max:    11 Err:     0 (0.00%) Active: 1 Started: 1 Finished: 0
summary =  94799 in 00:18:27 =   85.7/s Avg:     1 Min:     0 Max:   798 Err:     0 (0.00%)
summary +   2591 in 00:00:30 =   86.4/s Avg:     1 Min:     1 Max:    14 Err:     0 (0.00%) Active: 1 Started: 1 Finished: 0
summary =  97390 in 00:18:57 =   85.7/s Avg:     1 Min:     0 Max:   798 Err:     0 (0.00%)
summary +   2583 in 00:00:30 =   86.1/s Avg:     1 Min:     0 Max:   134 Err:     0 (0.00%) Active: 1 Started: 1 Finished: 0
summary =  99973 in 00:19:27 =   85.7/s Avg:     1 Min:     0 Max:   798 Err:     0 (0.00%)
summary +     27 in 00:00:00 =   86.0/s Avg:     1 Min:     1 Max:     2 Err:     0 (0.00%) Active: 0 Started: 1 Finished: 1
summary = 100000 in 00:19:27 =   85.7/s Avg:     1 Min:     0 Max:   798 Err:     0 (0.00%)
Tidying up ...    @ Tue Aug 15 16:53:30 IST 2017 (1502796210323)
... end of run

