event count, actual distinct count
1,105
2,88
3,158
4,886
5,1295
6,1441
7,1755
8,1313
9,1117
10,1244
11,1399
12,1537
13,1805
14,1746
15,1823
16,1610
17,1714
18,1724
19,1587
20,1594
21,1671
22,1732
23,1613
24,1610
25,1762
26,800
27,1693
28,1780
29,1670
30,1772
31,1838
32,1226
33,1742
34,1762
35,1642
36,1791
37,1686
38,1878
39,1609
40,1767
41,1817
42,1698
43,1681
44,1814
45,1788
46,1789
47,1787
48,1609
49,1631
50,1523
51,1701
52,1643
53,1632
54,1711
55,1506
56,1785
57,1674
58,1702
59,1640
60,1701
61,1804
62,1861
63,1756
64,1639
65,1756
66,1576
67,1563
68,1537
69,1624
70,1779
71,1754
72,1622
73,1569
74,1648
75,1618
76,1614
77,1358
78,1390
79,1646
80,1574
81,1324
82,1688
83,1499
84,1432
85,1522
86,1514
87,1582
88,1793
89,1592
90,1617
91,1226
92,1304
93,2104
94,1399
95,1983
96,1907
97,1848
98,1985
99,2107
100,2074
101,2084
102,2005
103,1846
104,1377
105,1939
106,1693
107,2025
108,1427
109,1864
110,1813
111,1997
112,1510
113,1802
114,1876
115,1780
116,1573
117,1650
118,1823
119,1491
120,1629
121,1551
122,1150
123,1786
124,1598
125,1658
126,1576
127,1474
128,2132
129,1435
130,1411
131,1363
132,1356
133,1382
134,1373
135,166
