event count, actual distinct count
1,2199
2,992
3,1071
4,2638
5,3825
6,4140
7,4555
8,4825
9,4629
10,4625
11,4558
12,4585
13,4595
14,4569
15,4580
16,4597
17,4574
18,4593
19,4590
20,4606
21,4584
22,4462
23,4411
24,4146
25,2424
