event count, avg, time spent
156,509969.80558539205, 662
157,509446.9861259338, 669
158,509276.18027571583, 676
159,508872.03477344575, 684
160,509505.9895287958, 691
161,510026.7388137357, 698
162,509756.9658738366, 705
163,511089.0513874615, 712
164,510386.051072523, 723
165,510144.65888324875, 730
166,510055.2946518668, 738
167,509182.926780341, 745
168,509023.12761714857, 752
169,509684.0009910803, 759
170,509558.2581280788, 766
171,510140.9735553379, 773
172,509769.35150925023, 780
173,509028.69796708616, 787
174,508197.2300288739, 794
175,507658.03827751195, 801
176,507622.502378687, 813
177,508185.5846736045, 820
178,508160.30103480717, 827
179,508253.472404116, 837
180,508011.7609302325, 844
181,506866.98427382053, 851
182,505711.0395584177, 858
183,504913.11802378774, 865
184,505401.62784349406, 878
185,504907.97556561086, 886
186,504959.2097209721, 893
187,504575.6311548791, 900
188,504880.5779162956, 907
189,505284.35252435785, 914
190,505763.9524229075, 921
191,505012.6906222612, 938
192,503987.85701830866, 945
193,504547.40069384215, 952
194,505150.7497842968, 959
195,504414.23862660944, 965
196,504233.5183603758, 978
197,505641.6176720476, 985
198,506309.3888419273, 992
199,505662.40538267454, 999
200,505569.0242677824, 1006
201,506257.1881765196, 1014
202,506082.0596520298, 1021
203,506167.2366034625, 1028
204,507274.17883511074, 1035
205,508061.6742857143, 1042
206,508827.4012997563, 1049
207,508031.3112368634, 1055
208,508443.7851971038, 1062
209,508732.74459567654, 1069
210,508121.9131474104, 1076
211,508587.9817605075, 1083
212,507987.6187845304, 1090
213,509523.3134328358, 1097
214,509097.1978107897, 1104
215,509426.50038910506, 1111
216,509107.9604957397, 1121
217,509991.88897455664, 1128
218,510580.9907904835, 1130
219,510333.3384262796, 1137
220,510783.0486692015, 1145
221,510539.1438304315, 1152
222,510493.2901281085, 1158
223,510625.27231807954, 1166
224,510834.78416728904, 1172
225,510412.3144981413, 1179
226,510904.87342709105, 1186
227,511756.5998526161, 1193
228,512155.99486427, 1200
229,511654.4689554419, 1207
230,512503.7810909091, 1214
231,512163.1607530775, 1221
232,512512.6517664023, 1228
233,513258.3575017947, 1235
234,513680.2937812723, 1242
235,514384.83701067616, 1249
236,514545.33026222535, 1258
237,515513.52575864503, 1265
238,515487.5158116655, 1271
239,516195.49475157453, 1278
240,515644.2850174216, 1282
241,516649.51630811935, 1289
242,516267.6482377332, 1296
243,515702.95664143155, 1303
244,515399.4784098698, 1310
245,515307.3085324232, 1319
246,514927.3188307274, 1326
247,514521.65809072444, 1333
248,514429.24072825356, 1340
249,513922.38079247816, 1347
250,514247.3719063545, 1354
251,514016.16322451696, 1361
252,514005.4313205043, 1368
253,513417.0105750165, 1375
254,513460.4588545095, 1382
255,512970.4668852459, 1389
256,512487.0907903331, 1396
257,513370.3949251789, 1405
258,514015.68826960464, 1412
259,513536.9464170433, 1419
260,513484.0180064309, 1429
261,512574.34208840487, 1440
262,512542.9540523293, 1447
263,512242.6897647807, 1454
264,512670.45471817604, 1461
265,512152.11482649844, 1469
266,513343.60213702073, 1476
267,513028.1772072636, 1483
268,512759.9912663755, 1490
269,512187.19328775635, 1496
270,512645.23653250776, 1503
271,512453.7316471314, 1510
272,513166.25199754146, 1517
273,513163.01775872626, 1524
274,513410.9548505186, 1531
275,512917.27051671734, 1538
276,513036.697758934, 1544
277,512633.61013880506, 1551
278,512200.91461214673, 1558
279,511974.3726782504, 1565
280,511739.9880597015, 1571
281,512206.81023200473, 1578
282,511983.4173088322, 1585
283,512276.3709391613, 1592
284,512352.87404355506, 1598
285,512683.6780058651, 1605
286,512951.9228521333, 1612
287,512882.68316831684, 1620
288,512740.8119558909, 1634
289,511867.5066512435, 1641
290,510943.9135446686, 1648
291,510856.6766226307, 1655
292,510985.07956496853, 1662
293,509999.28750713065, 1669
294,509307.35076748155, 1676
295,509723.46968838526, 1683
296,509562.1405985319, 1690
297,509700.9026449071, 1697
298,510017.5675827257, 1704
299,509335.49301285634, 1711
300,509988.2529247911, 1718
301,509877.21654636314, 1725
302,510107.309352518, 1733
303,510172.55212355213, 1740
304,510329.85761407367, 1747
305,510005.43342465756, 1754
306,510329.5182960131, 1761
307,509281.810016331, 1768
308,509788.033640803, 1775
309,508880.5040562466, 1782
310,509039.3385444744, 1789
311,508511.611499194, 1796
312,508153.9775040171, 1803
313,509044.8366257341, 1810
314,509464.71846726985, 1817
315,509429.8588859416, 1825
316,508765.35219460604, 1832
317,508159.4496573537, 1839
318,507602.85181292694, 1846
319,507179.23258250393, 1853
320,506907.65848563967, 1860
321,506050.4091618949, 1867
322,505992.6331084588, 1874
323,505509.2586652871, 1881
324,505122.66580711707, 1888
325,505066.55424164527, 1896
326,505165.8247052793, 1902
327,505735.8548799182, 1910
328,505791.47784004075, 1917
329,505246.40172676486, 1924
330,505173.50987341773, 1932
331,504927.8889449773, 1939
332,504815.5762455964, 1946
333,504747.10536879074, 1953
334,504771.6623311656, 1960
335,504940.8643391521, 1967
336,504471.8180009945, 1974
337,504118.34159643034, 1981
338,504088.58428077115, 1988
339,504369.6968950222, 1995
340,504264.08697788697, 2002
341,503767.6859382656, 2009
342,503301.8177821202, 2016
343,503484.18217243056, 2023
344,503413.73385138414, 2031
345,503607.62324455206, 2038
346,503620.06566875905, 2044
347,503499.0717380838, 2051
348,503130.98703792604, 2058
