events in window,avgHumidity
 776, 5050.672680412371
 682, 5185.447214076246
 725, 4989.811034482758
 723, 4958.355463347165
 695, 5022.951079136691
 741, 5005.206477732793
 636, 5059.163522012579
 706, 4970.58073654391
 725, 5057.245517241379
 722, 4874.307479224377
 721, 4983.117891816921
 743, 4900.876177658142
 730, 5198.835616438356
 706, 4973.014164305949
 731, 5073.430916552667
 741, 5187.240215924427
 750, 5104.524
 761, 4874.395532194481
 741, 4907.882591093117
 713, 5132.784011220197
 749, 5043.128170894526
 743, 5030.729475100942
 740, 4960.52027027027
 720, 5107.3125
 718, 5038.344011142061
 744, 5126.7244623655915
 747, 5152.979919678715
 726, 4959.545454545455
 735, 4950.069387755102
 504, 5159.113095238095
 264, 5202.772727272727
 241, 5212.273858921162
 233, 4887.193133047211
 222, 4916.59009009009
 225, 4764.484444444444
 226, 4598.026548672567
 233, 5028.175965665236
 229, 5302.585152838428
 219, 5291.2831050228315
 231, 4846.419913419913
 225, 5227.595555555556
 217, 5288.6036866359445
 221, 5014.665158371041
 229, 4959.441048034934
 219, 5127.75799086758
 218, 5030.385321100917
 227, 5045.370044052864
 214, 5294.85046728972
 216, 4829.444444444444
 238, 4875.415966386555
 226, 5278.061946902655
 219, 4344.557077625571
 219, 5407.182648401827
 217, 5291.801843317972
 229, 4823.593886462882
 218, 4972.706422018348
 213, 5091.596244131455
 222, 5020.481981981982
 204, 4847.191176470588
 219, 5040.858447488585
 220, 5115.359090909091
 218, 5045.6697247706425
 227, 4777.678414096917
 221, 5147.076923076923
 221, 5276.705882352941
 219, 4868.511415525114
 234, 4919.004273504273
 226, 5146.486725663717
 216, 4837.717592592592
 237, 4862.7805907173
 237, 5331.295358649789
 232, 5131.474137931034
 235, 5018.195744680851
 237, 4993.341772151899
 237, 4853.945147679325
 234, 4969.495726495727
 231, 4818.346320346321
 235, 4948.876595744681
 224, 4879.973214285715
 228, 4993.254385964912
 243, 5116.3621399176955
 225, 5260.262222222223
 227, 5068.744493392071
 235, 4956.451063829787
 230, 5318.086956521739
 240, 4958.766666666666
 231, 4766.805194805195
 230, 5042.165217391304
 232, 5019.5344827586205
 225, 4986.168888888889
 233, 5003.982832618026
 231, 4957.727272727273
 230, 4906.0
 238, 4863.264705882353
 232, 4720.75
 229, 4861.812227074236
 246, 4660.3536585365855
 232, 5134.206896551724
 223, 5034.556053811659
 232, 4863.512931034483
 230, 4937.469565217391
 233, 4656.171673819743
 231, 5191.926406926407
 231, 4973.8138528138525
 230, 5094.94347826087
 228, 4920.201754385965
 235, 4593.438297872341
 245, 5101.90612244898
 225, 5226.528888888889
 212, 5067.037735849057
 208, 5030.3317307692305
 129, 5103.7131782945735
