event count, avg, time spent
138,501568.98270199256, 16103
139,501201.9040649228, 16221
140,500962.5501762463, 16338
141,500782.07049496466, 16466
142,500653.6797390256, 16581
143,500728.0197873389, 16699
144,500289.80441927136, 16814
145,500180.84792722727, 16932
146,500552.2219157299, 17048
147,500769.72323813435, 17166
148,501005.43840555067, 17282
149,501130.4779406797, 17403
150,501267.3987651835, 17519
151,501081.3513099127, 17638
152,500855.54678498115, 17755
153,501001.48575751594, 17872
154,500834.8668060911, 17988
155,500941.80131160317, 18105
156,500830.28540094185, 18222
157,501002.61592205625, 18339
158,501005.59754155786, 18453
159,501053.96873615595, 18568
160,500862.18231557764, 18684
161,500839.9212549216, 18802
162,501281.3990435377, 18918
163,501555.3592370841, 19037
164,501669.13741488254, 19154
165,501588.17297725746, 19273
166,501472.6325071208, 19389
167,501664.41756520694, 19506
168,501575.5326028382, 19622
169,501654.77697756083, 19742
170,501425.9016626235, 19858
171,501446.5727310158, 19975
172,501289.05081574176, 20091
173,501167.8719260508, 20212
174,501111.67452748393, 20329
175,500964.12941784953, 20445
176,501061.6332780984, 20564
177,501230.2731094824, 20684
178,500941.79786452744, 20802
179,500923.0022470648, 20917
180,501229.2246801855, 21034
181,501094.17976779066, 21155
182,500926.7361471742, 21272
183,501024.74067358935, 21391
184,501179.8598437244, 21515
185,501066.6819194609, 21629
186,500786.09177882277, 21745
187,500615.439062416, 21862
188,500782.10330998345, 21980
189,500729.82708366576, 22094
190,500834.3660123803, 22213
191,501070.156254934, 22330
192,500873.2201978954, 22446
193,500757.02859226085, 22564
194,500970.39049790165, 22679
195,500921.74722952425, 22794
196,501168.0469206707, 22914
197,501341.50732105505, 23031
198,501064.44251560833, 23150
199,500790.2564011919, 23268
200,500814.0802472238, 23398
201,500826.1281935903, 23512
202,500839.05944977864, 23625
203,500809.3472600366, 23744
204,500845.6077533126, 23859
205,500852.15131611197, 23975
206,500876.3901273109, 24094
207,500842.03791078104, 24211
208,500919.5035022463, 24334
209,500956.0297581847, 24452
210,501017.0951629109, 24570
211,500870.76658254367, 24687
212,500617.58793422114, 24805
213,500790.2393283336, 24924
214,500795.83498427307, 25040
215,500741.0114480632, 25155
216,500794.6932700805, 25276
217,500777.7042266562, 25393
218,500655.51292567165, 25510
219,500686.0730241732, 25627
220,501008.16273229534, 25738
221,501222.356847416, 25853
222,501280.53241934755, 25975
223,501272.1308950047, 26092
224,501362.40191022825, 26208
225,501230.09160305344, 26323
226,501344.7893871383, 26446
227,501365.4596699261, 26562
228,501162.3672525439, 26681
229,501196.3659927196, 26790
230,501012.2719095236, 26894
231,501047.0409547411, 27004
232,501083.01670923334, 27112
233,500990.47097107884, 27217
234,501052.90682803316, 27325
235,500875.542327251, 27438
236,500849.5059359176, 27545
237,500802.8203042244, 27649
238,500728.52791021473, 27754
239,500881.7161463804, 27863
240,500990.92502405756, 27978
241,501042.4975626016, 28089
242,500842.0597900502, 28201
243,500641.63650262385, 28307
244,500356.5000205753, 28416
245,500399.568460309, 28523
246,500349.52716215665, 28633
247,500267.9915044104, 28749
248,500070.5918788713, 28856
249,500073.48239990324, 28964
250,499985.9534155255, 29074
251,500030.2919883205, 29181
252,500135.2146129636, 29293
253,500030.5360104758, 29399
254,500300.26951503893, 29515
255,500341.7889453171, 29620
256,500518.8986314262, 29754
257,500708.64091246435, 29859
258,500504.588459593, 29965
259,500281.4740126352, 30074
260,500439.24014516815, 30185
261,500249.47371254954, 30292
262,500098.75679092755, 30406
263,500247.14568146254, 30509
264,500285.8436181134, 30626
265,500262.9230332184, 30736
266,500358.6433342138, 30845
267,500330.6129468817, 30954
268,500396.9576045841, 31058
269,500534.4321853662, 31166
270,500439.2680941229, 31276
271,500386.1461797711, 31385
272,500332.8771263053, 31491
273,500415.80897761113, 31601
274,500499.76096113696, 31707
275,500471.2641874384, 31817
276,500459.24617286643, 31923
277,500545.4495489294, 32034
278,500695.01115483197, 32123
279,500642.205604115, 32233
280,500748.9378158489, 32344
281,500658.78904324846, 32456
282,500584.5886267393, 32566
283,500514.92454168294, 32679
284,500561.9243136285, 32772
285,500664.65842752013, 32878
286,500809.9259675099, 32990
287,500630.90049298975, 33095
288,500632.8599003519, 33200
289,500621.2759973612, 33313
290,500657.01529358845, 33437
291,500618.7384572946, 33553
292,500895.6939280437, 33661
293,500944.04492996813, 33766
294,500827.11330671306, 33874
295,500957.5557634094, 33985
296,500963.6865529982, 34094
297,500836.064727543, 34204
298,500957.9095316656, 34314
299,500913.00540250324, 34419
300,501076.930671215, 34524
301,501016.92190260324, 34633
302,500973.0582040464, 34742
303,501064.24211118836, 34847
304,501155.527507343, 34953
305,501275.5450807539, 35063
306,501288.2475984394, 35173
307,501324.552432927, 35279
308,501197.68948894175, 35390
309,501187.6190708094, 35506
310,501162.3996310799, 35622
311,501379.3725363698, 35730
312,501319.29237002024, 35830
313,501287.4145379956, 35942
314,501398.4755439123, 36051
315,501406.93165822746, 36169
316,501348.7373416717, 36285
317,501294.87949748425, 36399
318,501385.78745149996, 36513
319,501313.1214427219, 36619
320,501343.73411491804, 36727
321,501259.0872160245, 36848
322,501471.01797451795, 36963
323,501577.613645539, 37079
324,501706.09445528005, 37187
325,501707.8686151662, 37296
326,501686.5379526784, 37404
327,501582.39078555873, 37522
328,501459.4131066328, 37634
329,501364.1191731959, 37747
330,501283.02130634326, 37856
331,501308.3641707827, 37964
332,501279.67771366425, 38071
333,501281.78744616127, 38178
334,501159.82390919194, 38284
335,501341.6990509266, 38387
336,501311.9741798752, 38497
337,501207.2985923038, 38604
338,501114.4198688466, 38707
339,501089.87136475253, 38805
340,501105.5679183505, 38915
341,501084.4315755419, 39019
342,500980.6650244861, 39132
343,500963.6901260197, 39240
344,501083.38290428853, 39346
345,501131.6584982995, 39458
346,501104.43908872205, 39561
347,501035.61521343316, 39669
348,500908.6075617417, 39772
349,501044.31292204245, 39877
350,500971.6731612275, 39982
351,501016.6084683295, 40089
352,500982.24133215577, 40188
353,500993.34274594474, 40298
354,501036.806039489, 40400
355,500934.6237111946, 40504
356,500992.1947550773, 40611
357,501033.5090587343, 40719
358,501022.193327918, 40821
359,500984.85447333875, 40957
360,500899.0589398624, 41059
361,500944.43382128276, 41168
362,500834.30580870336, 41283
363,500877.7896190713, 41392
364,500885.81061127794, 41499
365,500761.69476113294, 41605
366,500685.80715596833, 41716
367,500645.5307778476, 41822
368,500488.51840549306, 41928
369,500540.3215673487, 42042
370,500535.57908999757, 42153
371,500439.378260047, 42260
372,500431.16915986093, 42370
373,500425.3552055052, 42481
374,500542.1967239484, 42593
375,500457.3208470362, 42703
376,500466.3508439775, 42816
377,500697.7805909417, 42917
378,500722.07936129015, 43025
379,500576.45747466997, 43131
380,500607.8874699876, 43240
381,500740.3891213389, 43330
382,500744.527702685, 43439
383,500775.3711421167, 43547
384,500799.9955875826, 43649
385,500943.9789328403, 43756
386,500902.8760551674, 43862
387,500908.72024040826, 43971
388,500895.91243120335, 44073
389,500917.6788742558, 44177
390,500896.0463998355, 44287
391,500940.27671085356, 44393
392,500841.98173959745, 44499
393,500891.83184102445, 44634
394,500864.7047912267, 44741
395,500830.88111976854, 44848
396,500827.57011214906, 44951
397,500820.14689023007, 45057
398,500798.51716581447, 45159
399,500714.6293560463, 45270
400,500895.2262599935, 45381
401,500840.2954676133, 45491
402,500871.0701977507, 45598
403,500809.016069252, 45705
404,500840.33572367934, 45813
405,500790.3854607559, 45927
406,500823.8370904422, 46033
407,500920.99086229404, 46143
408,500874.929190929, 46251
409,500836.8005686135, 46366
410,500835.0367961663, 46477
411,500752.9573181142, 46586
412,500760.6967227075, 46694
413,500753.2226402272, 46795
414,500633.25829883054, 46901
415,500602.0102171445, 46992
416,500549.9573986169, 47097
417,500497.023148482, 47208
418,500508.1152490348, 47316
419,500422.8696442669, 47431
420,500447.679578053, 47541
421,500400.1976143425, 47649
422,500330.1951022541, 47756
423,500393.3094002512, 47863
424,500400.61154582637, 47970
425,500358.22320228297, 48079
426,500278.6243853086, 48190
427,500212.6434356001, 48296
428,500228.3527083675, 48412
429,500275.411859536, 48514
430,500200.1114892427, 48628
431,500256.64903141785, 48726
432,500296.134242825, 48834
433,500355.407930372, 48941
434,500285.02073855104, 49047
435,500406.136425428, 49156
436,500530.5174133928, 49265
437,500595.342882044, 49375
438,500627.4122102469, 49482
439,500649.7462843314, 49589
440,500800.1872622492, 49703
441,500864.0615667826, 49806
442,500768.67692342575, 49916
443,500744.0954729531, 50025
444,500707.7972957721, 50133
