Buildfile: /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/build.xml

init:

compile:
    [javac] /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/build.xml:87: warning: 'includeantruntime' was not set, defaulting to build.sysclasspath=last; set to false for repeatable builds
    [javac] Compiling 1 source file to /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/temp/classes
     [copy] Copying 1 file to /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/temp/classes

run:
     [echo] Configure optionally use -DelapsedCount=xxxx -Dprotocol='thrift/binary' -Dhost=xxxx -Dport=xxxx
     [echo]             -DcalcType='throughput/latency'
     [echo]         
     [java] Shutdown hook added.
     [java] PUNCTUATION SERVER started................
     [java] Unable to determine dialect of the StAX implementation at jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/axiom_1.2.11.wso2v11.jar!/
     [java] SLF4J: Class path contains multiple SLF4J bindings.
     [java] SLF4J: Found binding in [jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/slf4j.log4j12_1.7.13.jar!/org/slf4j/impl/StaticLoggerBinder.class]
     [java] SLF4J: Found binding in [jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/slf4j.log4j12_1.7.21.jar!/org/slf4j/impl/StaticLoggerBinder.class]
     [java] SLF4J: See http://www.slf4j.org/codes.html#multiple_bindings for an explanation.
     [java] Thrift Server started at localhost
     [java] Thrift SSL port : 7761
     [java] Thrift port : 7661
     [java] Test Server Started
     [java] user admin connected
     [java] Event: count : 72, maxHumidity : 983692, timeSpent : 7516
     [java] Event: count : 73, maxHumidity : 983692, timeSpent : 7633
     [java] Event: count : 74, maxHumidity : 983692, timeSpent : 7750
     [java] Event: count : 75, maxHumidity : 983692, timeSpent : 7868
     [java] Event: count : 76, maxHumidity : 983692, timeSpent : 7985
     [java] Event: count : 77, maxHumidity : 983692, timeSpent : 8102
     [java] Event: count : 78, maxHumidity : 983692, timeSpent : 8219
     [java] Event: count : 79, maxHumidity : 983692, timeSpent : 8334
     [java] Event: count : 80, maxHumidity : 983692, timeSpent : 8450
     [java] Event: count : 81, maxHumidity : 983692, timeSpent : 8568
     [java] Event: count : 82, maxHumidity : 983692, timeSpent : 8686
     [java] Event: count : 83, maxHumidity : 983692, timeSpent : 8803
     [java] Event: count : 84, maxHumidity : 983692, timeSpent : 8921
     [java] Event: count : 85, maxHumidity : 983692, timeSpent : 9039
     [java] Event: count : 86, maxHumidity : 983692, timeSpent : 9156
     [java] Event: count : 87, maxHumidity : 983692, timeSpent : 9272
     [java] Event: count : 88, maxHumidity : 983692, timeSpent : 9382
     [java] Event: count : 89, maxHumidity : 983692, timeSpent : 9491
     [java] Event: count : 90, maxHumidity : 983692, timeSpent : 9599
     [java] Event: count : 91, maxHumidity : 983692, timeSpent : 9708
     [java] Event: count : 92, maxHumidity : 983692, timeSpent : 9818
     [java] Event: count : 93, maxHumidity : 983692, timeSpent : 9928
     [java] Event: count : 94, maxHumidity : 983692, timeSpent : 10037
     [java] Event: count : 95, maxHumidity : 983692, timeSpent : 10145
     [java] Event: count : 96, maxHumidity : 983692, timeSpent : 10254
     [java] Event: count : 97, maxHumidity : 983692, timeSpent : 10363
     [java] Event: count : 98, maxHumidity : 983692, timeSpent : 10475
     [java] Event: count : 99, maxHumidity : 983692, timeSpent : 10591
     [java] Event: count : 100, maxHumidity : 983692, timeSpent : 10711
     [java] Event: count : 101, maxHumidity : 983692, timeSpent : 10826
     [java] Event: count : 102, maxHumidity : 983692, timeSpent : 10938
     [java] Event: count : 103, maxHumidity : 983692, timeSpent : 11051
     [java] Event: count : 104, maxHumidity : 983692, timeSpent : 11162
     [java] Event: count : 105, maxHumidity : 983692, timeSpent : 11274
     [java] Event: count : 106, maxHumidity : 983692, timeSpent : 11387
     [java] Event: count : 107, maxHumidity : 983692, timeSpent : 11497
     [java] Event: count : 108, maxHumidity : 983692, timeSpent : 11609
     [java] Event: count : 109, maxHumidity : 983692, timeSpent : 11726
     [java] Event: count : 110, maxHumidity : 983692, timeSpent : 11844
     [java] Event: count : 111, maxHumidity : 983692, timeSpent : 11956
     [java] Event: count : 112, maxHumidity : 983692, timeSpent : 12070
     [java] Event: count : 113, maxHumidity : 983692, timeSpent : 12185
     [java] Event: count : 114, maxHumidity : 983692, timeSpent : 12296
     [java] Event: count : 115, maxHumidity : 983692, timeSpent : 12404
     [java] Event: count : 116, maxHumidity : 983692, timeSpent : 12519
     [java] Event: count : 117, maxHumidity : 983692, timeSpent : 12631
     [java] Event: count : 118, maxHumidity : 983692, timeSpent : 12739
     [java] Event: count : 119, maxHumidity : 983692, timeSpent : 12850
     [java] Event: count : 120, maxHumidity : 983692, timeSpent : 12960
     [java] Event: count : 121, maxHumidity : 983692, timeSpent : 13069
     [java] Event: count : 122, maxHumidity : 983692, timeSpent : 13180
     [java] Event: count : 123, maxHumidity : 983692, timeSpent : 13291
     [java] Event: count : 124, maxHumidity : 983692, timeSpent : 13402
     [java] Event: count : 125, maxHumidity : 983692, timeSpent : 13514
     [java] Event: count : 126, maxHumidity : 983692, timeSpent : 13630
     [java] Event: count : 127, maxHumidity : 983692, timeSpent : 13743
     [java] Event: count : 128, maxHumidity : 983692, timeSpent : 13854
     [java] Event: count : 129, maxHumidity : 983692, timeSpent : 13966
     [java] Event: count : 130, maxHumidity : 983692, timeSpent : 14077
     [java] Event: count : 131, maxHumidity : 983692, timeSpent : 14189
     [java] Event: count : 132, maxHumidity : 983692, timeSpent : 14301
     [java] Event: count : 133, maxHumidity : 983692, timeSpent : 14410
     [java] Event: count : 134, maxHumidity : 983692, timeSpent : 14522
     [java] Event: count : 135, maxHumidity : 983692, timeSpent : 14636
     [java] Event: count : 136, maxHumidity : 983692, timeSpent : 14751
